nc_metric,bin,ood_set,clip_fid,method,avg_rank
var_collapse,mid,tinyimagenet,0.25916467614357813,REN,11.666666666666666
var_collapse,mid,tinyimagenet,0.25916467614357813,PE,12.166666666666666
var_collapse,mid,tinyimagenet,0.25916467614357813,PCA RecError global,12.166666666666666
var_collapse,mid,tinyimagenet,0.25916467614357813,CTMmeanOC,12.5
var_collapse,mid,tinyimagenet,0.25916467614357813,GradNorm,12.5
var_collapse,mid,tinyimagenet,0.25916467614357813,ViM,12.833333333333334
var_collapse,mid,tinyimagenet,0.25916467614357813,CTMmean,12.833333333333334
var_collapse,mid,tinyimagenet,0.25916467614357813,Residual,14.5
var_collapse,mid,tinyimagenet,0.25916467614357813,fDBD,14.5
var_collapse,mid,tinyimagenet,0.25916467614357813,GEN,15.0
var_collapse,mid,tinyimagenet,0.25916467614357813,PCE,15.166666666666666
var_collapse,mid,tinyimagenet,0.25916467614357813,Confidence,15.5
var_collapse,mid,tinyimagenet,0.25916467614357813,Maha,16.833333333333332
var_collapse,mid,tinyimagenet,0.25916467614357813,MSR,17.666666666666668
var_collapse,mid,isun,0.40957509267432773,CTM,5.0
var_collapse,mid,isun,0.40957509267432773,NNGuide,6.5
var_collapse,mid,isun,0.40957509267432773,pNML,7.166666666666667
var_collapse,mid,isun,0.40957509267432773,NeCo,7.5
var_collapse,mid,isun,0.40957509267432773,Energy,7.5
var_collapse,mid,isun,0.40957509267432773,GE,8.166666666666666
var_collapse,mid,isun,0.40957509267432773,MLS,9.0
var_collapse,mid,isun,0.40957509267432773,KPCA RecError global,9.5
var_collapse,mid,isun,0.40957509267432773,fDBD,10.5
var_collapse,mid,isun,0.40957509267432773,ViM,10.833333333333334
var_collapse,mid,isun,0.40957509267432773,REN,12.0
var_collapse,mid,isun,0.40957509267432773,CTMmean,12.0
var_collapse,mid,isun,0.40957509267432773,CTMmeanOC,12.5
var_collapse,mid,isun,0.40957509267432773,PCA RecError global,12.666666666666666
var_collapse,mid,isun,0.40957509267432773,PE,12.833333333333334
var_collapse,mid,isun,0.40957509267432773,Maha,14.5
var_collapse,mid,isun,0.40957509267432773,Residual,14.5
var_collapse,mid,isun,0.40957509267432773,GradNorm,15.333333333333334
var_collapse,mid,isun,0.40957509267432773,GEN,15.5
var_collapse,mid,isun,0.40957509267432773,PCE,15.666666666666666
