nc_metric,bin,method,avg_rank
bias_collapse,high,CTMmeanOC,6.428571428571429
bias_collapse,high,MLS,6.428571428571429
bias_collapse,high,NNGuide,6.428571428571429
bias_collapse,high,KPCA RecError global,8.571428571428571
bias_collapse,high,CTM,8.714285714285714
bias_collapse,high,GE,9.142857142857142
bias_collapse,high,REN,11.714285714285714
bias_collapse,high,GradNorm,12.714285714285714
bias_collapse,high,Confidence,13.0
bias_collapse,high,ViM,13.142857142857142
bias_collapse,high,GEN,13.285714285714286
bias_collapse,high,PCA RecError global,14.714285714285714
bias_collapse,high,pNML,14.857142857142858
bias_collapse,high,PCE,15.571428571428571
bias_collapse,high,PE,16.142857142857142
bias_collapse,high,MSR,16.428571428571427
bias_collapse,high,Maha,21.0
bias_collapse,high,Residual,22.0
equiangular_uc,low,CTM,1.2857142857142858
equiangular_uc,low,CTMmean,3.2857142857142856
equiangular_uc,low,CTMmeanOC,3.4285714285714284
equiangular_uc,low,fDBD,4.428571428571429
equiangular_uc,low,NNGuide,6.285714285714286
equiangular_uc,low,REN,6.714285714285714
equiangular_uc,low,KPCA RecError global,7.857142857142857
equiangular_uc,low,GEN,8.285714285714286
equiangular_uc,low,Confidence,10.285714285714286
equiangular_uc,low,PCE,11.142857142857142
equiangular_uc,low,MSR,11.285714285714286
equiangular_uc,low,PE,12.0
equiangular_uc,low,MLS,13.571428571428571
equiangular_uc,low,NeCo,13.857142857142858
equiangular_uc,low,Energy,14.0
equiangular_uc,low,ViM,15.428571428571429
equiangular_uc,low,GE,15.571428571428571
equiangular_uc,low,pNML,15.857142857142858
equiangular_uc,low,GradNorm,16.714285714285715
equiangular_uc,low,PCA RecError global,19.428571428571427
equiangular_uc,low,Maha,21.0
equiangular_uc,low,Residual,21.285714285714285
equiangular_uc,mid,NNGuide,3.5
equiangular_uc,mid,Energy,3.8333333333333335
equiangular_uc,mid,CTM,6.0
equiangular_uc,mid,NeCo,7.666666666666667
equiangular_uc,mid,PE,7.833333333333333
equiangular_uc,mid,MLS,8.833333333333334
equiangular_uc,mid,KPCA RecError global,9.0
equiangular_uc,mid,fDBD,9.833333333333334
equiangular_uc,mid,PCE,10.166666666666666
equiangular_uc,mid,CTMmean,10.5
equiangular_uc,mid,CTMmeanOC,10.5
equiangular_uc,mid,GE,10.833333333333334
equiangular_uc,mid,GradNorm,11.333333333333334
equiangular_uc,mid,MSR,12.166666666666666
equiangular_uc,mid,GEN,12.333333333333334
equiangular_uc,mid,REN,12.333333333333334
equiangular_uc,mid,Confidence,13.833333333333334
equiangular_uc,mid,pNML,15.5
equiangular_uc,mid,ViM,16.166666666666668
equiangular_uc,mid,Residual,19.5
equiangular_uc,mid,PCA RecError global,19.666666666666668
equiangular_uc,mid,Maha,21.666666666666668
equiangular_uc,high,Energy,1.7142857142857142
equiangular_uc,high,NeCo,2.4285714285714284
equiangular_uc,high,MLS,3.7142857142857144
equiangular_uc,high,NNGuide,5.714285714285714
equiangular_uc,high,GE,6.285714285714286
equiangular_uc,high,fDBD,8.571428571428571
equiangular_uc,high,KPCA RecError global,9.285714285714286
equiangular_uc,high,GradNorm,9.571428571428571
equiangular_uc,high,CTMmeanOC,9.714285714285714
equiangular_uc,high,CTMmean,9.857142857142858
equiangular_uc,high,CTM,11.428571428571429
equiangular_uc,high,ViM,13.285714285714286
equiangular_uc,high,Confidence,13.428571428571429
equiangular_uc,high,PCA RecError global,14.428571428571429
equiangular_uc,high,REN,14.428571428571429
equiangular_uc,high,PE,14.571428571428571
equiangular_uc,high,GEN,14.857142857142858
equiangular_uc,high,PCE,15.0
equiangular_uc,high,pNML,15.428571428571429
equiangular_uc,high,MSR,16.714285714285715
equiangular_uc,high,Maha,21.142857142857142
equiangular_uc,high,Residual,21.428571428571427
equiangular_wc,low,CTM,1.0
equiangular_wc,low,CTMmean,3.5714285714285716
equiangular_wc,low,fDBD,3.5714285714285716
equiangular_wc,low,CTMmeanOC,3.7142857142857144
equiangular_wc,low,NNGuide,4.857142857142857
equiangular_wc,low,REN,6.285714285714286
equiangular_wc,low,KPCA RecError global,7.857142857142857
equiangular_wc,low,GEN,8.571428571428571
equiangular_wc,low,PE,10.571428571428571
equiangular_wc,low,PCE,10.714285714285714
equiangular_wc,low,Confidence,10.857142857142858
equiangular_wc,low,MSR,11.285714285714286
equiangular_wc,low,MLS,12.714285714285714
equiangular_wc,low,NeCo,12.857142857142858
equiangular_wc,low,Energy,14.571428571428571
equiangular_wc,low,GE,14.857142857142858
equiangular_wc,low,ViM,16.857142857142858
equiangular_wc,low,pNML,17.571428571428573
equiangular_wc,low,GradNorm,19.0
equiangular_wc,low,PCA RecError global,19.428571428571427
equiangular_wc,low,Maha,21.0
equiangular_wc,low,Residual,21.285714285714285
equiangular_wc,mid,Energy,3.1666666666666665
equiangular_wc,mid,NNGuide,5.5
equiangular_wc,mid,CTM,6.166666666666667
equiangular_wc,mid,GradNorm,8.666666666666666
equiangular_wc,mid,NeCo,8.666666666666666
equiangular_wc,mid,KPCA RecError global,9.0
equiangular_wc,mid,PE,9.5
equiangular_wc,mid,MLS,9.666666666666666
equiangular_wc,mid,CTMmeanOC,10.333333333333334
equiangular_wc,mid,CTMmean,10.5
equiangular_wc,mid,PCE,10.666666666666666
equiangular_wc,mid,fDBD,10.833333333333334
equiangular_wc,mid,GE,11.666666666666666
equiangular_wc,mid,REN,12.0
equiangular_wc,mid,GEN,12.166666666666666
equiangular_wc,mid,MSR,12.5
equiangular_wc,mid,Confidence,13.0
equiangular_wc,mid,pNML,13.5
equiangular_wc,mid,ViM,14.833333333333334
equiangular_wc,mid,Residual,19.5
equiangular_wc,mid,PCA RecError global,19.5
equiangular_wc,mid,Maha,21.666666666666668
equiangular_wc,high,Energy,1.7142857142857142
equiangular_wc,high,NeCo,2.5714285714285716
equiangular_wc,high,MLS,3.857142857142857
equiangular_wc,high,NNGuide,5.428571428571429
equiangular_wc,high,GE,6.285714285714286
equiangular_wc,high,fDBD,8.571428571428571
equiangular_wc,high,KPCA RecError global,9.285714285714286
equiangular_wc,high,CTMmean,9.571428571428571
equiangular_wc,high,CTMmeanOC,9.571428571428571
equiangular_wc,high,GradNorm,9.571428571428571
equiangular_wc,high,CTM,11.571428571428571
equiangular_wc,high,ViM,13.0
equiangular_wc,high,Confidence,13.571428571428571
equiangular_wc,high,PCA RecError global,14.571428571428571
equiangular_wc,high,PE,14.571428571428571
equiangular_wc,high,GEN,14.714285714285714
equiangular_wc,high,PCE,15.0
equiangular_wc,high,REN,15.142857142857142
equiangular_wc,high,pNML,15.428571428571429
equiangular_wc,high,MSR,16.428571428571427
equiangular_wc,high,Maha,21.142857142857142
equiangular_wc,high,Residual,21.428571428571427
equinorm_uc,low,CTM,1.2857142857142858
equinorm_uc,low,fDBD,4.142857142857143
equinorm_uc,low,CTMmean,4.857142857142857
equinorm_uc,low,CTMmeanOC,5.571428571428571
equinorm_uc,low,KPCA RecError global,5.857142857142857
equinorm_uc,low,NNGuide,6.571428571428571
equinorm_uc,low,REN,6.714285714285714
equinorm_uc,low,Energy,9.714285714285714
equinorm_uc,low,GEN,10.571428571428571
equinorm_uc,low,PE,11.142857142857142
equinorm_uc,low,PCE,12.0
equinorm_uc,low,pNML,12.0
equinorm_uc,low,NeCo,13.142857142857142
equinorm_uc,low,MSR,13.571428571428571
equinorm_uc,low,MLS,13.857142857142858
equinorm_uc,low,Confidence,14.142857142857142
equinorm_uc,low,ViM,14.857142857142858
equinorm_uc,low,GradNorm,15.285714285714286
equinorm_uc,low,GE,16.285714285714285
equinorm_uc,low,Residual,19.857142857142858
equinorm_uc,low,PCA RecError global,20.285714285714285
equinorm_uc,low,Maha,21.285714285714285
equinorm_uc,mid,NNGuide,3.6666666666666665
equinorm_uc,mid,CTM,6.0
equinorm_uc,mid,CTMmeanOC,8.0
equinorm_uc,mid,NeCo,8.333333333333334
equinorm_uc,mid,MLS,8.333333333333334
equinorm_uc,mid,Energy,8.666666666666666
equinorm_uc,mid,CTMmean,8.833333333333334
equinorm_uc,mid,PE,8.833333333333334
equinorm_uc,mid,PCE,9.166666666666666
equinorm_uc,mid,Confidence,9.333333333333334
equinorm_uc,mid,MSR,9.5
equinorm_uc,mid,GEN,9.833333333333334
equinorm_uc,mid,GE,10.0
equinorm_uc,mid,fDBD,10.333333333333334
equinorm_uc,mid,REN,11.0
equinorm_uc,mid,KPCA RecError global,11.666666666666666
equinorm_uc,mid,GradNorm,13.0
equinorm_uc,mid,ViM,17.0
equinorm_uc,mid,PCA RecError global,18.833333333333332
equinorm_uc,mid,pNML,20.5
equinorm_uc,mid,Residual,21.0
equinorm_uc,mid,Maha,21.166666666666668
equinorm_uc,high,Energy,1.8571428571428572
equinorm_uc,high,NeCo,2.5714285714285716
equinorm_uc,high,MLS,3.857142857142857
equinorm_uc,high,NNGuide,5.285714285714286
equinorm_uc,high,GE,6.285714285714286
equinorm_uc,high,fDBD,8.428571428571429
equinorm_uc,high,KPCA RecError global,9.0
equinorm_uc,high,GradNorm,9.571428571428571
equinorm_uc,high,CTMmean,9.714285714285714
equinorm_uc,high,CTMmeanOC,9.714285714285714
equinorm_uc,high,CTM,11.428571428571429
equinorm_uc,high,ViM,13.142857142857142
equinorm_uc,high,Confidence,13.428571428571429
equinorm_uc,high,PCA RecError global,14.285714285714286
equinorm_uc,high,PE,14.571428571428571
equinorm_uc,high,GEN,14.714285714285714
equinorm_uc,high,pNML,15.0
equinorm_uc,high,PCE,15.0
equinorm_uc,high,REN,15.571428571428571
equinorm_uc,high,MSR,16.714285714285715
equinorm_uc,high,Maha,21.285714285714285
