nc_metric,bin,n_models,n_methods_input,n_methods_used,n_blocks_used,friedman_stat,friedman_p,significant,top_clique,top_clique_size
max_equiangular_wc,mid,12,22,22,6,66.01581027667982,1.5070115823593923e-06,True,"CTM, Energy, KPCA RecError global, NNGuide, fDBD",5
max_equiangular_wc,high,14,22,22,7,98.87803500846985,4.554835551430649e-12,True,"Energy, MLS, NNGuide, NeCo",4
self_duality,low,14,22,22,7,97.40767927724448,8.268309140921015e-12,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
self_duality,mid,12,22,22,6,65.95256916996044,1.541865460348301e-06,True,"CTM, Energy, KPCA RecError global, MLS, NNGuide, NeCo, PE",7
self_duality,high,14,22,22,7,96.09316770186342,1.4065694467826555e-11,True,"Energy, fDBD",2
w_etf_diff,low,14,22,22,7,75.54206662902322,4.42612830487696e-08,True,"CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, NNGuide, fDBD",7
w_etf_diff,mid,12,22,22,6,92.97233201581025,4.9319143267780485e-11,True,"Energy, GE, MLS, NNGuide, NeCo",5
w_etf_diff,high,14,22,22,7,99.36589497459067,3.735624904247018e-12,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
M_etf_diff,low,14,22,22,7,84.60813099943539,1.3513664362863126e-09,True,"CTM, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PE",8
M_etf_diff,mid,12,22,22,6,98.695652173913,4.905007200006659e-12,True,"CTM, CTMmean, fDBD",3
M_etf_diff,high,14,22,22,7,89.01919819311127,2.381388806361215e-10,True,"CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, fDBD",10
wM_etf_diff,low,14,22,22,7,97.51609260304917,7.913237139729205e-12,True,"Energy, MLS, NNGuide, NeCo, PE",5
wM_etf_diff,mid,12,22,22,6,89.81818181818176,1.7346794039683147e-10,True,"CTM, CTMmean, CTMmeanOC, fDBD",4
wM_etf_diff,high,14,22,22,7,89.01919819311127,2.381388806361215e-10,True,"CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, fDBD",10
