nc_metric,ood_set,clip_fid,low,mid,high
w_etf_diff,lsun resize,0.44339047660145725,"CTMmean, CTMmeanOC, KPCA RecError global, PCA RecError global, Residual, ViM, pNML","CTMmeanOC, KPCA RecError global, Maha, Residual, ViM, fDBD","CTM, GE, GEN, GradNorm, KPCA RecError global, MLS, MSR, PCE, PE, REN"
w_etf_diff,lsun cropped,0.452894850417105,"CTMmeanOC, GradNorm, KPCA RecError global","KPCA RecError global, MLS, NNGuide",GradNorm
w_etf_diff,places365,0.5321273594354652,"Residual, pNML","Maha, Residual, ViM, pNML","Maha, Residual, pNML"
w_etf_diff,textures,0.5468303877588535,"Residual, ViM, pNML","Residual, ViM, pNML","Maha, Residual, ViM, pNML"
w_etf_diff,svhn,0.6846676149471842,"CTMmean, CTMmeanOC, KPCA RecError global, NNGuide","CTMmean, CTMmeanOC, KPCA RecError global","GE, GradNorm"
M_etf_diff,cifar100,0.19080717366812822,"PCA RecError global, ViM, pNML",,"GE, PE"
M_etf_diff,cifar10,0.2171741844853313,"Energy, GE, MLS, NNGuide","Energy, GE, MLS, NNGuide, NeCo, PE, fDBD","Energy, GE, MLS, NeCo, PE"
M_etf_diff,tinyimagenet,0.25916467614357813,"Residual, ViM, pNML","Maha, PCA RecError global, Residual, ViM, pNML","Maha, Residual, ViM, pNML"
M_etf_diff,isun,0.40957509267432773,"CTMmeanOC, KPCA RecError global, Residual, ViM, pNML","CTMmeanOC, KPCA RecError global, Maha, Residual, ViM","GradNorm, KPCA RecError global, PCE, PE, REN"
M_etf_diff,lsun resize,0.44339047660145725,"CTMmean, CTMmeanOC, KPCA RecError global, PCA RecError global, Residual, ViM, pNML","KPCA RecError global, Maha, Residual, ViM","CTM, GE, GEN, GradNorm, KPCA RecError global, MLS, MSR, PCE, PE, REN"
M_etf_diff,lsun cropped,0.452894850417105,"CTMmeanOC, Energy, KPCA RecError global","GradNorm, KPCA RecError global, PE",GradNorm
M_etf_diff,places365,0.5321273594354652,"Residual, pNML","Maha, PCA RecError global, Residual, ViM, pNML","Maha, Residual, pNML"
M_etf_diff,textures,0.5468303877588535,"Residual, ViM, pNML","Maha, Residual, ViM, pNML","Maha, Residual, ViM, pNML"
M_etf_diff,svhn,0.6846676149471842,"CTMmean, CTMmeanOC, KPCA RecError global, NNGuide","CTMmean, CTMmeanOC, GradNorm, KPCA RecError global",GradNorm
wM_etf_diff,cifar100,0.19080717366812822,"PCA RecError global, ViM, pNML",,"GE, PE"
wM_etf_diff,cifar10,0.2171741844853313,"GE, MLS, NNGuide, PCE, PE","CTM, Energy, GE, MLS, NNGuide, NeCo, PE, fDBD","Energy, GE, MLS, NeCo, PE"
wM_etf_diff,tinyimagenet,0.25916467614357813,"PCA RecError global, Residual, ViM, pNML","Maha, Residual, ViM, pNML","Maha, Residual, ViM, pNML"
wM_etf_diff,isun,0.40957509267432773,"CTMmean, CTMmeanOC, KPCA RecError global, PCA RecError global, Residual, ViM, pNML","CTMmeanOC, KPCA RecError global, Maha, Residual, ViM","GradNorm, KPCA RecError global, PCE, PE, REN"
wM_etf_diff,lsun resize,0.44339047660145725,"CTMmean, CTMmeanOC, KPCA RecError global, PCA RecError global, Residual, ViM, pNML","KPCA RecError global, Maha, REN, Residual, ViM, fDBD","CTM, GE, GEN, GradNorm, KPCA RecError global, MLS, MSR, PCE, PE, REN"
wM_etf_diff,lsun cropped,0.452894850417105,KPCA RecError global,"GradNorm, KPCA RecError global, REN",GradNorm
wM_etf_diff,places365,0.5321273594354652,"Residual, pNML","Maha, Residual, ViM, pNML","Maha, Residual, pNML"
wM_etf_diff,textures,0.5468303877588535,"PCA RecError global, Residual, ViM, pNML","Maha, Residual, ViM, pNML","Maha, Residual, ViM, pNML"
wM_etf_diff,svhn,0.6846676149471842,"CTMmean, CTMmeanOC, KPCA RecError global, NNGuide","CTMmean, CTMmeanOC, GradNorm, KPCA RecError global",GradNorm
