model,drop out,methods,reward,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do0,CTM class avg,rew0,0.8020585727270386,0.8637924168558323,0.8747751751959276,0.9118776109584154,0.9046202042959278,0.8652677429758991,0.9323284578202626,0.903277706670848,0.9439539022807025
modelvit,do1,MSR class avg,rew0,0.8053929955059882,0.7695390804258123,0.8103341816158386,0.818359902050176,0.8131951663232551,0.8031067222926562,0.7589329722038315,0.8199345571969314,0.848225815846777
modelvit,do1,GEN class avg,rew0,0.806298011906733,0.7741450973361591,0.8143529695655264,0.8242756993418956,0.8189913005404394,0.8079816618044313,0.7627380468124629,0.825105389198983,0.8539094952027131
modelvit,do1,PCE class avg,rew0,0.8068575877597564,0.7737496953615033,0.8161832693047465,0.8240705739572274,0.8188783032707219,0.8100209766135468,0.7622376794565578,0.8270460851046652,0.854476407973284
modelvit,do1,REN class avg,rew0,0.8070073959330548,0.7817936479812404,0.823953501436778,0.8397965613213569,0.8335666698484852,0.8172774410726567,0.76977310172626,0.8332760126417076,0.8700009085766339
modelvit,do0,fDBD class pred,rew0,0.8082941920933004,0.8661980247098586,0.8433595967244962,0.892160279999716,0.8960016890305799,0.9006695865266204,0.9481661943792318,0.9489994507731442,0.9605426530955447
modelvit,do0,CTMmean,rew0,0.8103569947027601,0.7517287583551675,0.7902718850895909,0.6773988931867487,0.704704270399688,0.9266780839524549,0.7331937094016728,0.9510817366838659,0.7933791592971675
modelvit,do0,GE class avg,rew0,0.8139334007459478,0.8361546412451922,0.8701282228210616,0.871792019726912,0.8656930707919708,0.8826068687116546,0.8671338576836696,0.9087462781052871,0.8923725778573706
modelvit,do0,CTM class,rew0,0.8140169073378789,0.8831342032974586,0.8575484643282261,0.913615707757048,0.9208703663441664,0.8749017342091513,0.9752684613812089,0.9383043022892877,0.9833186271658928
modelvit,do0,CTM class pred,rew0,0.8196329368745964,0.883917477273374,0.8586697650432613,0.9130558532208657,0.9205944223680342,0.8820737247071049,0.9740974003056208,0.943268310429915,0.9822531161419914
modelvit,do0,fDBD class avg,rew0,0.8234543430749047,0.870799642521674,0.8204519672996071,0.9068166585826738,0.9101960192693305,0.8974229771908316,0.9642609823389922,0.9518931279723445,0.971422664904496
modelvit,do1,CTM class,rew0,0.8238424283321392,0.8690309349203865,0.8660244358674042,0.927618123650211,0.9286448789904206,0.8732962267015854,0.9515485711915724,0.9067255350826088,0.9474879380585538
modelvit,do1,fDBD class pred,rew0,0.8246115227672306,0.8366675153577867,0.8505968442913069,0.8961451086183967,0.8969079093424828,0.8978928844677825,0.888362592258229,0.9080847562221035,0.8957915953513418
modelvit,do0,PCA RecError global,rew0,0.824880186334463,0.7549469701676541,0.8041545462384375,0.6914810840711801,0.708833370615661,0.9573919897004253,0.5465504084710349,0.9791895012116087,0.6202047087472685
modelvit,do0,Maha,rew0,0.8279749658824314,0.7265991973860032,0.7824893314961475,0.6144152449336474,0.626396817540443,0.9705103951970819,0.30398105314081525,0.987985640229977,0.41165895562847654
modelvit,do0,Maha class avg,rew0,0.8289385519117458,0.7348845120873186,0.793945104501093,0.6248417128449338,0.6371789692763226,0.9657027658162889,0.31279405987564546,0.9840141375907587,0.42173636954641636
modelvit,do1,CTMmeanOC,rew0,0.8302151796967546,0.803715110386162,0.8044091336045305,0.8471060155904759,0.8641713166068673,0.9253946689699586,0.8863579920572502,0.9524895590670246,0.9217304408821763
modelvit,do1,PCA RecError class,rew0,0.8314906435456187,0.7765353493577829,0.7996410517189798,0.7730691202394389,0.7809757764905603,0.9218911067107312,0.713336703984945,0.9430882249044819,0.8207313168339508
modelvit,do0,KPCA RecError class,rew0,0.8339347620175603,0.8078494508580014,0.8484100577105058,0.7213800796716022,0.7386876891453845,0.9451011517656307,0.5904827533507793,0.9654696002373921,0.6777962166858107
modelvit,do1,KPCA RecError class pred,rew0,0.8346925811345791,0.8141532411158316,0.8197972996853075,0.7510043458641416,0.7684348021905689,0.9290573390408523,0.6439126632687057,0.9445226920590832,0.8034768724588559
modelvit,do1,CTM class pred,rew0,0.8353966281807204,0.8703348642506825,0.8691490085808976,0.9251282400707004,0.9265997850851255,0.8859700884509134,0.9493514962624132,0.9135751875382432,0.9455910024120785
