model,drop out,methods,reward,run,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do0,PCE class,rew0,3,18.680829973762027,285.97058538282204,275.126538476898,259.68395268964514,226.47829308596909,251.5532141561704,212.44866677745927,119.49238973808971,432.7123299680427
modelvit,do0,PCE class,rew0,4,18.612442317832677,298.2777653335666,279.4007334499966,248.7132071173914,223.7233750993125,250.2861044438378,214.5427393231776,119.27858711003672,447.3899417742868
modelvit,do0,PCE class,rew0,2,18.276840150136398,293.6443631996832,262.6526149795856,258.2695735100498,220.88286191696392,247.2400847684576,214.29682633344893,116.1371239349895,436.3266269078032
modelvit,do0,REN class,rew0,1,20.92127260692521,288.0419068371819,274.90429855178456,252.17938028756404,224.36100175100617,251.8813619234385,214.60346950741427,122.09085190937375,437.6621716815879
modelvit,do0,REN class,rew0,0,18.572533713627816,298.63922440782466,313.5178605741302,272.948675428928,226.32937034901704,255.95300964533516,223.5446786552856,130.81682123231155,453.996442204251
modelvit,do0,REN class,rew0,3,19.314538147559183,287.4645546854974,277.2390587351982,258.09500964367334,226.3351590903936,252.3461458385503,214.34562500585665,123.2300299022084,436.8966561649209
modelvit,do0,REN class,rew0,4,18.97342626233068,303.36113867193905,290.0421481540498,248.11635398847355,225.60528574241428,254.68736365565587,226.8461413680061,127.85530113121268,458.1858637755959
modelvit,do0,REN class,rew0,2,18.443905625608757,326.56395794242235,300.46118001121124,258.5890056871236,224.2257165509536,261.32605161762194,264.6593711242565,181.98203366127908,466.3442193171239
modelvit,do0,PE class,rew0,1,21.303628228294357,287.4288212205137,272.73922308232954,253.60631132773256,224.7743066386033,249.85194570180235,212.59454260855887,119.04137785859652,435.93737917099634
modelvit,do0,PE class,rew0,0,19.44786712387577,288.1520478601528,305.7450531057271,270.6756915747905,223.49946092977933,248.0091396219217,211.89063236227423,114.77599533589463,435.965644519286
modelvit,do0,PE class,rew0,3,19.875340005874428,284.8654224430826,274.0843190413772,258.8578886780596,226.2314981779024,249.97062109768336,211.4004441478349,118.0614095782723,431.6100686828057
modelvit,do0,PE class,rew0,4,19.67340101071426,297.8267566630582,278.37932325684966,247.42891142729528,223.44713527562064,248.7044180024233,213.61294339454813,117.95893974640045,445.7557007272612
modelvit,do0,PE class,rew0,2,19.22213387044354,292.67644155799434,262.1628962761154,256.7105765807148,220.05464377865545,245.2580031447755,213.14403555900145,114.91561580262189,434.9524385566476
modelvit,do0,GradNorm class pred,rew0,1,20.16794680655908,275.20537024670824,248.7661050450305,243.15856600425255,211.7077921133017,239.8957834813235,206.98120117254828,113.28702535968831,429.9003069647883
modelvit,do0,GradNorm class pred,rew0,0,21.2717354773906,279.14519762076776,256.9132832735025,242.5509849444562,210.52432319052835,238.79128208434383,209.69787730538133,114.15696440030578,431.7238810326402
modelvit,do0,GradNorm class pred,rew0,3,22.24375588599489,267.1822190613537,250.0620961346367,241.6106305809268,210.7900825888144,239.93936338092897,206.88734533205923,113.14524794573948,428.4628965249225
modelvit,do0,GradNorm class pred,rew0,4,20.122113435632656,269.5242990255597,247.3565726916704,240.3269227631735,212.82475671082832,241.94702486543383,208.94429070122007,114.05768931303469,434.0435859423151
modelvit,do0,GradNorm class pred,rew0,2,20.243832104839385,269.63867090532096,239.09535622150435,233.41872943514755,207.78392525530776,239.38874749581515,206.8163767207817,112.31904829488852,429.8924576093029
modelvit,do0,GE global,rew0,1,22.488495422941117,289.73777495001576,263.36780015860967,253.0448107853172,219.17913918997792,239.6558295072917,208.7758160875823,114.25033315621428,432.11071577088114
modelvit,do0,GE global,rew0,0,21.128515011630952,290.3050974160441,272.1150899157849,267.8618918217029,218.16910406625303,237.42150796172385,210.5311551780948,114.36094924855064,435.1477156080913
modelvit,do0,GE global,rew0,3,21.0374490398034,287.0850497157496,265.4307156506757,253.57027925543505,216.4841310427112,241.57073366112516,208.8526027135792,114.40995610521362,429.9865854267206
modelvit,do0,GE global,rew0,4,19.58518382639805,302.0027323678092,254.43967531485237,245.85905346027013,218.9419278405982,239.51301725665675,209.90292250686375,113.85885864729914,438.96112746609526
modelvit,do0,GE global,rew0,2,20.461203489866524,292.826454054854,252.68302283609464,247.39206649334972,214.7576431300823,239.462501020016,209.6876991286561,112.18078164772672,432.2878383192321
modelvit,do0,PCA RecError class pred,rew0,1,21.050770348946877,323.0333493332364,274.7624236693252,307.58785257777413,266.23207370492224,230.3214841625999,276.6506444115949,112.9687124278658,476.4289117308277
modelvit,do0,PCA RecError class pred,rew0,0,22.26294715502041,338.0315935011022,285.0370126661343,313.2808815354148,274.9911888947076,227.60451898902664,306.31580692595975,114.28853627399926,507.0709085526808
modelvit,do0,PCA RecError class pred,rew0,3,21.96499960344389,326.5638682300082,279.40058749066026,298.40243721476475,267.54157428491146,228.6855472300433,309.4464606829393,113.56740757894828,502.356870901125
modelvit,do0,PCA RecError class pred,rew0,4,20.712956902907333,314.53340028553686,261.6072988081193,293.34016860954546,259.5049277600033,229.900448414741,267.50846378594474,112.0648474197722,470.75597463421474
modelvit,do0,PCA RecError class pred,rew0,2,20.394143337403268,324.72845847428886,267.76728715984194,283.83733801427223,259.26491729616714,225.8335153130306,265.079857837738,111.07954835703308,474.9526165534712
modelvit,do0,PCA RecError class,rew0,1,21.90164449698447,326.45224916528343,277.33932303717427,312.81900685492,271.94536026230315,230.62251495119463,290.18320727322293,112.95855035642256,489.0894320652845
modelvit,do0,PCA RecError class,rew0,0,23.436507765863404,342.9013988097768,289.1023315746736,320.5887637710454,283.06865639860825,227.15351744102605,325.7328501015368,114.26954875774572,530.4054706341442
modelvit,do0,PCA RecError class,rew0,3,22.93932203547512,330.4053850681023,281.9809814809401,303.6353413318849,273.90476025948936,228.6176770573952,332.34789802358085,113.63644199392634,510.322346510085
modelvit,do0,PCA RecError class,rew0,4,21.659916071764503,317.5707267452607,263.8854023374768,298.0556316677991,264.6229588903076,230.01216281395625,284.2697268319376,111.8533847847871,481.1454766245504
modelvit,do0,PCA RecError class,rew0,2,21.34342945087701,328.2985295642249,270.7178856008287,289.6000365624242,265.4724673965933,225.72316658822567,279.811258623458,110.81846610954176,494.62511174664274
modelvit,do0,CTMmeanOC,rew0,1,22.254991501860783,330.0065657441498,271.54064109010835,299.18479038372215,249.65564764025385,231.76548007703536,237.17692259418976,113.32630513626108,447.6460294001707
modelvit,do0,CTMmeanOC,rew0,0,23.38684519488985,340.1572436360126,274.9292266154614,299.5031408990768,259.9109726186209,228.47251447673176,250.9704909283626,112.36887094853545,465.3518025497669
modelvit,do0,CTMmeanOC,rew0,3,23.456965107212053,336.4206982304096,274.8007658726804,289.78664917322186,249.38788445246544,229.40689995898197,241.454955093487,115.55407279341848,452.5082652865668
modelvit,do0,CTMmeanOC,rew0,4,22.281082180264,326.55173843212225,258.13954069575266,285.3713155414907,243.36897596424268,232.60202549493695,231.5150399415072,114.66975261782748,452.1925332359893
modelvit,do0,CTMmeanOC,rew0,2,21.656810634666023,340.0166540629724,267.8584861454575,272.94750324938065,242.95788951717992,229.19225107344784,234.8499476417768,111.93542752996235,448.8789553106458
modelvit,do0,GE,rew0,1,23.67362560280081,284.9589077099515,265.8804422780254,256.7366455629071,220.16408018957785,245.55446232494072,207.89114207396295,115.34375708689124,431.49253577011285
modelvit,do0,GE,rew0,0,23.6828738343902,284.092695050363,298.8985190278962,263.34553695829186,219.6585154008325,245.24864117216623,208.6172594873018,112.24401722794836,433.7268866171654
modelvit,do0,GE,rew0,3,22.570878792062608,279.4430911271618,270.82634947035586,251.35716861269864,219.534027285759,249.7663827768647,207.4930455772277,115.3848516382318,429.338618784124
modelvit,do0,GE,rew0,4,21.36630517876862,291.9574376677625,264.0361833300236,248.6590310200526,222.77538510381487,247.2735862357393,208.36543010959164,114.15125192940552,438.9826778421154
