base,variant,mean_diff,median_diff,std_diff,n_better,n_worse,n_tied,n_total,p_value,significant,backbone
GEN,GEN class avg,-1.9341834588307811,-0.7284832541658375,3.7425352983873488,27,53,0,80,3.138494960067869e-05,True,Conv
NNGuide,NNGuide global,0.16174425207107954,0.10778389836146118,0.4173148753662337,63,33,0,96,0.00019068235794789972,True,Conv
NNGuide,NNGuide class pred,-0.6925693948069686,-0.4464222280539474,0.9550178808008688,18,78,0,96,7.106994500115108e-12,True,Conv
NNGuide,NNGuide class avg,-2.3455385571727967,-1.9438407378720228,3.5002906969944347,13,59,0,72,1.5465176605400984e-07,True,Conv
Maha,Maha global,24.13885539351253,16.594171654275584,29.343461075348177,50,14,0,64,2.4416961967378416e-08,True,Conv
Maha,Maha class pred,18.65826199094939,10.228616184306375,27.423186388274363,40,16,0,56,2.7560355558956667e-05,True,Conv
Maha,Maha class avg,5.223608677299218,0.23531885873923386,15.931547576339455,38,18,0,56,0.22111725090854328,False,Conv
pNML,pNML global,-18.340370618393948,-18.124819977422476,13.842861794177953,2,38,0,40,6.775735528208315e-09,True,Conv
pNML,pNML class pred,6.730371809629759,5.11692469355755,10.128489697434983,40,8,0,48,1.9615893691593556e-05,True,Conv
pNML,pNML class avg,-67.87938310524703,-74.33510521054136,28.426487187528224,0,16,0,16,3.0517578125e-05,True,Conv
GE,GE global,0.05060836258326917,0.029284207750109204,0.16099299729040548,65,31,0,96,0.00028887612378480237,True,Conv
GE,GE class,-0.8896397352573056,0.008655270439760443,2.7966942004731763,50,46,0,96,0.39047126235283525,False,Conv
GE,GE class pred,-0.2591175179243464,0.07467767299496586,1.0872814231388763,38,34,0,72,0.6056617953507459,False,Conv
GE,GE class avg,-3.8033947166284614,-2.8896155169584006,4.548481956319686,11,45,0,56,5.259201173037616e-07,True,Conv
PCE,PCE global,0.06432908813799883,0.0265925217904055,0.17746825723694634,58,38,0,96,0.0003770537553523969,True,Conv
PCE,PCE class,0.10377834216299998,0.04064809079461895,0.920543828324217,51,37,0,88,0.04358970067814871,True,Conv
PCE,PCE class pred,-1.2342619435314046,-0.9836629218269763,1.1960600059473394,9,71,0,80,3.8259797991223584e-13,True,Conv
PCE,PCE class avg,-2.20715340609053,-1.296657466201978,3.9170807228242452,23,41,0,64,0.00011091741028218726,True,Conv
PE,PE global,0.06387492627344474,0.028811636373291094,0.17044141554519737,59,29,0,88,0.00042469180759102367,True,Conv
PE,PE class,-0.3457602779540961,0.03919551939257815,1.756233412077262,52,36,0,88,0.24909225623806364,False,Conv
PE,PE class pred,-1.0544039206708034,-0.7035715204877704,1.2441197303439377,7,73,0,80,1.7218110529033796e-12,True,Conv
PE,PE class avg,-2.6224444431089298,-1.765503278962143,4.241487985320418,15,41,0,56,7.615589008936385e-05,True,Conv
REN,REN global,0.15713830521869712,0.044195663611532154,0.5769980489419202,52,36,0,88,0.028025318911986546,True,Conv
REN,REN class,-0.20323640148161978,0.23344348724671704,1.8313841169693332,59,37,0,96,0.6114889676987263,False,Conv
REN,REN class pred,-0.8099317563123214,-1.100214573770515,2.136537427545806,17,79,0,96,6.371619833231141e-09,True,Conv
REN,REN class avg,-1.8489066901546467,-0.5798960925251748,4.132008889908175,36,52,0,88,0.001565549429473227,True,Conv
CTM,CTM global,-0.2838211073781327,-0.32993114943887747,1.6350820510378452,13,19,0,32,0.2950702649541199,False,ViT
CTM,CTM class,-3.15796168263462,-2.133320139410884,2.963220145494588,4,28,0,32,6.379559636116028e-08,True,ViT
CTM,CTM class pred,-3.0411021231872084,-2.143018500680739,2.6939695418694543,3,29,0,32,1.5366822481155396e-08,True,ViT
CTM,CTM class avg,-4.689372363779206,-3.033202939649712,4.5740541119839415,2,30,0,32,1.4295801520347595e-07,True,ViT
CTMmean,CTMmean global,-0.4719217134472813,-0.43915400795660986,2.8159678942934443,11,21,0,32,0.17762435926124454,False,ViT
CTMmean,CTMmean class,-10.710030188487202,-2.954583269370083,15.3160920309904,2,30,0,32,6.905756890773773e-07,True,ViT
CTMmean,CTMmean class pred,-5.098194684613252,-2.5789404748504055,6.504040847104016,2,30,0,32,8.097849786281586e-07,True,ViT
CTMmean,CTMmean class avg,-22.145120947480883,-4.676536301360684,36.029985021856966,4,28,0,32,0.00019507110118865967,True,ViT
fDBD,fDBD global,0.15806444885232107,-0.17233109642685918,2.2239481835660535,13,19,0,32,0.691578262951225,False,ViT
fDBD,fDBD class pred,-3.457958679315479,-3.275540902304158,2.4187024489857296,0,32,0,32,4.656612873077393e-10,True,ViT
fDBD,fDBD class avg,0.6712256728277476,-0.4040205625357203,5.568458117196506,9,15,0,24,0.944107174873352,False,ViT
GradNorm,GradNorm global,4.918575454558027,3.756151650990553,7.875711536614466,22,10,0,32,0.0012352922931313515,True,ViT
GradNorm,GradNorm class pred,5.905767200084294,5.679230813564345,6.459850078983259,25,7,0,32,4.596542567014694e-06,True,ViT
GradNorm,GradNorm class avg,-40.682072200713996,-28.61301282037563,55.71437417074819,10,22,0,32,0.00036499183624982834,True,ViT
KPCA RecError global,KPCA RecError class,-9.204965490854699,0.07611206211041122,24.73055272885643,16,16,0,32,0.20317862927913666,False,ViT
KPCA RecError global,KPCA RecError class pred,-5.345009482864592,0.5422198771916271,18.217366209406993,18,14,0,32,0.5483431480824947,False,ViT
KPCA RecError global,KPCA RecError class avg,-108.08688460196896,-122.6627991690386,71.41742977583,2,30,0,32,6.51925802230835e-09,True,ViT
PCA RecError global,PCA RecError class,10.417025468941194,2.966276841716933,14.735019050286263,25,7,0,32,0.0001777801662683487,True,ViT
PCA RecError global,PCA RecError class pred,11.605709313948942,3.073436965318521,16.690683682705806,26,6,0,32,0.00016188295558094978,True,ViT
PCA RecError global,PCA RecError class avg,-41.54084477470935,-28.645206271721285,39.449262562364964,0,24,0,24,1.1920928955078125e-07,True,ViT
Energy,Energy global,0.6325151032281493,0.4554055802522754,0.8374185417798535,28,4,0,32,6.0301274061203e-05,True,ViT
Energy,Energy class,0.0418186233519795,0.025724247446433424,1.1520924489195683,20,12,0,32,0.5859751221723855,False,ViT
Energy,Energy class pred,0.030125707931137224,0.055643384448188726,0.8053685509619072,21,11,0,32,0.37942655524238944,False,ViT
Energy,Energy class avg,-12.265306149851117,-12.073977228976261,12.250579404025324,3,29,0,32,7.869675755500793e-08,True,ViT
MLS,MLS global,0.6528782969670841,0.3541939815300239,0.8078252277554886,27,5,0,32,3.54335643351078e-05,True,ViT
MLS,MLS class,-0.03392411943774132,0.025193789521367194,0.8459099810643874,20,12,0,32,0.6511482996866107,False,ViT
MLS,MLS class pred,-0.008526396795841329,0.024039205918981565,0.8040536570281527,20,12,0,32,0.5987727888859808,False,ViT
MLS,MLS class avg,-10.394997721745046,-10.593026282649504,10.024503475417236,2,30,0,32,6.379559636116028e-08,True,ViT
MSR,MSR global,0.547967062944601,0.3285307210673025,0.8099897917459042,22,10,0,32,0.000837184488773346,True,ViT
MSR,MSR class,-0.9769486975432118,-0.5183918462885089,1.1884498817756166,2,30,0,32,7.869675755500793e-08,True,ViT
MSR,MSR class pred,0.22294846066071639,-0.006141585671443295,0.8050577995580313,16,16,0,32,0.5119121475145221,False,ViT
MSR,MSR class avg,-5.581154745297193,-5.141782034069344,5.1528522978957225,2,30,0,32,1.1781230568885803e-07,True,ViT
GEN,GEN global,0.4993848681744315,0.2824967588673104,0.7819909248302735,27,5,0,32,0.0001777801662683487,True,ViT
GEN,GEN class,-1.0319867081506997,-0.43476902816637164,1.4377149690121198,4,28,0,32,2.8421171009540558e-05,True,ViT
GEN,GEN class pred,0.1335281216376143,0.0323698974455624,1.3712860516117638,19,13,0,32,0.5987727888859808,False,ViT
