,dataset,architecture,study,dropout,run,reward,lr,temperature,raw_entropy_mean,raw_entropy_std,raw_entropy_p50,raw_maxprob_mean,raw_maxprob_std,raw_maxprob_p50,raw_margin_mean,raw_margin_std,raw_margin_p50,raw_logitnorm_mean,raw_logitnorm_std,raw_logitnorm_p50,raw_kl_uniform_mean,raw_kl_uniform_std,raw_kl_uniform_p50,raw_top23margin_mean,raw_top23margin_std,raw_top23margin_p50,raw_top34margin_mean,raw_top34margin_std,raw_top34margin_p50,scaled_entropy_mean,scaled_entropy_std,scaled_entropy_p50,scaled_maxprob_mean,scaled_maxprob_std,scaled_maxprob_p50,scaled_margin_mean,scaled_margin_std,scaled_margin_p50,scaled_logitnorm_mean,scaled_logitnorm_std,scaled_logitnorm_p50,scaled_kl_uniform_mean,scaled_kl_uniform_std,scaled_kl_uniform_p50,scaled_top23margin_mean,scaled_top23margin_std,scaled_top23margin_p50,scaled_top34margin_mean,scaled_top34margin_std,scaled_top34margin_p50,logit_classmean_cv_norm,logit_classmean_cos_mse,logit_classmean_cos_max_dev,logit_classmean_cos_mean,logit_within_between_ratio,logit_classmean_mean_norm,n_classes_seen,logit_cov_participation,logit_cov_effrank
76,cifar10,ResNet18,dg,False,1,6.0,0.0,1.1420236825942993,0.0485064597588325,0.13252553269617212,0.02033909894216224,0.9893640955843541,0.04853240131454853,0.9977709565231119,7.193016468119333,1.395677174071381,7.480521500110626,8.223612554825916,0.762831295702243,8.236212700946943,2.2540786332352134,0.1325255326961721,2.2822448133347897,0.58290883104451,0.6611187687972712,0.3676471747457981,0.2850839491826971,0.30137675065835495,0.19931939244270325,0.08564166535261591,0.1548206182780008,0.04985140527218124,0.983315841211887,0.0542894277993812,0.9938844790176857,6.298482752839164,1.2221087835135391,6.550233170390129,7.200912450520154,0.6679645141681865,7.211945409224019,2.2169434276414295,0.15482061827800084,2.2527325869869634,0.5104174631688351,0.5789011023198859,0.3219260461628437,0.24963050548976687,0.26389711099395174,0.1745317578315735,0.022755629931801913,0.022396109935273672,0.378304833265406,-0.11100742331799174,0.03519246622807425,8.093846076441192,10.0,7.645055915257991,8.343367247159916
77,cifar10,ResNet18,dg,False,1,10.0,0.0,1.1524239778518677,0.05134340426166238,0.1364849556340505,0.02131208740734421,0.9886962170648562,0.05002149104246922,0.9976505109639627,7.121633403833331,1.3957462719579823,7.428396761417389,8.145895672947198,0.7432800688216479,8.177904228947192,2.2512416887323834,0.1364849556340505,2.28127260952095,0.5723492481822148,0.6476713545606432,0.36946921050548553,0.2949799015246704,0.30872632401244254,0.2048305869102478,0.09374396870123887,0.16125509102705338,0.054919305420179365,0.9817363096555206,0.05640325334238888,0.9931778662303319,6.179699086582063,1.2111395619889913,6.445888638496399,7.068488532749033,0.6449710207297118,7.096263590845277,2.208841124292807,0.16125509102705338,2.2476638612291944,0.4966481599137021,0.5620078780224956,0.32060182094573975,0.25596473792452057,0.26789300627467905,0.17773893475532532,0.027655791623662978,0.022533944840784907,0.37199154629723924,-0.11094680119090172,0.03597044149079683,8.013663382270831,10.0,7.6381488715625805,8.340738202815661
78,cifar10,ResNet18,dg,True,1,2.2,0.0,1.4933545589447021,0.07425042127445494,0.2356777395696994,0.006586081131547958,0.9775156913452971,0.08663990623230651,0.9993722741883291,8.300159598490186,2.3925436861134544,9.020744144916534,9.067553488990576,1.17988077856067,9.265472035650108,2.228334671719591,0.2356777395696994,2.2959988638803006,0.5534826231968403,0.7985046866184133,0.19505250453948975,0.22792979221571236,0.3224764423799946,0.1548493504524231,0.22253471038025113,0.3388543937560108,0.10634360913497923,0.9489071902850823,0.11622193676566699,0.9856298383173292,5.558063588279222,1.6021270183971994,6.040591239929199,6.071936121763443,0.7900875065730348,6.2044688204851,2.080050382613795,0.3388543937560108,2.1962410816285014,0.37063041727055346,0.5347053596230095,0.13061362504959106,0.15262938792429107,0.2159409767971081,0.10369228792842478,0.009315840511194773,0.006697968106808161,0.29362649085078896,-0.11109765757698076,0.0840392966521842,8.711906066281696,10.0,8.593724483576697,8.808593186758483
79,cifar10,ResNet18,dg,True,1,3.0,0.0,1.3153700828552246,0.07855772482389842,0.21633134725922493,0.014258000379213433,0.9769329588832545,0.08240889216956165,0.998382846953238,6.691941135056745,1.9239647157397537,7.04107940196991,9.42748714972773,1.2608389635770816,9.491691118856428,2.2240273681701477,0.21633134725922495,2.288326649500384,1.3205853712052573,1.1050408346319973,1.0703432187438011,0.7241887037828472,0.44051258758495393,0.6930688321590424,0.17003954613659109,0.2780060620544555,0.07835306531875746,0.9587851404533431,0.10004748365560232,0.9891269484276402,5.087496836489124,1.4626793950940002,5.352926313877106,7.167174677963061,0.9585431355645583,7.215985284714172,2.132545546857455,0.2780060620544555,2.224231955021987,1.003964882902384,0.8400988047919888,0.8137201964855194,0.5505588982882347,0.3348963102727782,0.5269002914428711,0.0421288922296314,0.05975341591671978,0.7662765581193052,-0.11083875151721084,0.06259528482187512,9.173774510895402,10.0,5.996732238971097,7.0766165099284954
80,cifar10,ResNet18,dg,True,1,6.0,0.0,1.1643788814544678,0.0996317065665871,0.21873555334653588,0.028619290165308606,0.9739592811721677,0.08125084350446138,0.9965631845494667,6.09289219043348,1.705505995199604,6.583085060119629,8.623592411331634,1.0239194057146543,8.727554546664948,2.2029533864274584,0.21873555334653585,2.273962826213135,0.9265324931497941,0.861833490490486,0.7075553983449936,0.4714899889227597,0.4094216073045627,0.3670789748430252,0.15951693232107317,0.25326456653693197,0.07202063753328297,0.9622600446931482,0.09108783843549864,0.9902990040051456,5.232740207065487,1.4647345651717045,5.653730869293213,7.406173838958412,0.8793696118389002,7.495459369065293,2.1430681606729727,0.25326456653693197,2.230563746416469,0.795731104454049,0.7401658548967737,0.6076676696538925,0.4049283238653017,0.35162232306891483,0.31525731831789017,0.07711625327367648,0.08784703533025941,0.6680314086399841,-0.1097090820678352,0.052891982332660306,8.350649347499864,10.0,5.204641569031988,6.713119938056974
81,cifar10,ResNet18,dg,True,1,10.0,0.0,1.124455213546753,0.09884839797665869,0.21549191987534894,0.029666494819176475,0.9747433163660127,0.078975248757003,0.9964296209530895,6.089652689288892,1.663082427615737,6.570476591587067,8.532611128740877,0.9989725195430945,8.638804122285686,2.2037366950173873,0.21549191987534896,2.272918008835311,0.9088338509523216,0.8607748905402358,0.6860487461090088,0.46432068217925726,0.411065407653136,0.35212111473083496,0.142889590042553,0.24227707606024423,0.060963018111721966,0.966195330899824,0.08655109138258289,0.9919796182245094,5.41564716520918,1.4790117100565063,5.843253016471863,7.58821785489782,0.8884057885729463,7.682657298139699,2.159695502951493,0.24227707606024423,2.2416171664670363,0.8082437070959799,0.7655039343904048,0.6101166009902954,0.4129294583227836,0.36556850170541033,0.3131482005119324,0.07925239245638963,0.08210663171902205,0.6504221396571839,-0.10969075111405188,0.051484634845271326,8.247923476352774,10.0,5.340606767334883,6.821934954571194
82,supercifar,VGG13,devries,False,2,2.2,0.0,2.0115621089935303,0.0613063830073564,0.21071974404153443,0.0032244995649946553,0.9835461063865765,0.07110432710013459,0.9997151666446003,9.024857152255473,3.0769593508488096,9.346276581287384,12.588357946134852,2.160919961550384,12.504840493068395,2.8831325961590837,0.2107197440415344,2.9412137977802484,0.94192042307446,0.907917608766234,0.670046329498291,0.5058936366572528,0.5050009156482352,0.35070645809173584,0.5427879643550133,0.5059250451948382,0.37382652141566214,0.8914768406935875,0.1400021493010116,0.9424827139629375,4.486491922497751,1.5296367625736587,4.646277695894241,6.258001128083055,1.074249685862712,6.216482422329811,2.401651014811427,0.505925045194838,2.570602465000559,0.46825321417563703,0.45134952823864943,0.33309751749038696,0.2514929240591487,0.2510491291646227,0.17434531450271606,0.032516788587692795,0.02048380244645052,0.3566881546807247,-0.05545390553207578,0.15962963233123992,11.827593777353737,19.0,13.664988396717504,15.769304534874063
83,supercifar,VGG13,devries,False,4,2.2,0.0,1.9797590970993042,0.06163296582935144,0.21223093877794053,0.0032706504993157827,0.9832172673844216,0.07225400482895437,0.9997112430714377,8.988225134383464,3.065644485028299,9.307775974273682,12.57470288138168,2.1248534404519033,12.501775707506125,2.8828060133370887,0.21223093877794055,2.9411674401696946,0.947021470057723,0.9186521519987095,0.6716268062591553,0.5028744656618066,0.5092370128331766,0.342772901058197,0.5195242323056695,0.49364334755649564,0.3504070681279353,0.8961307804948219,0.13754228990366235,0.9467342232811496,4.540060024574552,1.548493697500132,4.70146906375885,6.351632832520907,1.0732888889596754,6.314796288437736,2.424914746860771,0.4936433475564956,2.5940263241652377,0.4783518719989322,0.4640221894633802,0.3392467498779297,0.2540079074198244,0.2572217059417561,0.17313870042562485,0.03385776764843351,0.020156404351627254,0.3596860117144669,-0.05547614762523038,0.1626224561857111,11.786913738586405,19.0,13.68662984412137,15.813260214760847
84,supercifar,VGG13,devries,False,3,2.2,0.0,2.0326545238494873,0.06220337550634363,0.21400984798970984,0.0034140431835010033,0.9831992953130225,0.07238233352335693,0.9996978124919603,8.951360358541955,3.023221029206569,9.298826217651367,12.435877842645578,2.0520318414672603,12.36900064086908,2.8822356036600967,0.21400984798970984,2.9410244842492252,0.940586361815332,0.9203415743700243,0.6567007154226303,0.5007739155444464,0.5006576648642891,0.3452003747224808,0.5685926559218207,0.504944268650059,0.40344551326746303,0.886409505268058,0.14097190534757154,0.9374442706531948,4.403778533859024,1.48732654358233,4.57472038269043,6.118047949901994,1.0095330103817555,6.0851463379148525,2.3758463232446196,0.5049442686500589,2.5409814756112907,0.4627379371781183,0.4527781595323636,0.3230754304677248,0.24636450019459377,0.24630730871030546,0.16982737556099892,0.03197130460155223,0.01998965929942688,0.3746600849186962,-0.05546685216160209,0.1566706216969539,11.688291727924168,19.0,13.751420813734356,15.836191946844746
85,supercifar,VGG13,devries,False,1,2.2,0.0,2.054828405380249,0.060706324077320864,0.20743612426177133,0.0034856012444100565,0.9837444675174292,0.06993219695503922,0.9996897951757716,8.956908866296093,3.027874794395693,9.28755497932434,12.471887235421441,2.0922988991920186,12.384580161546314,2.8837326550891196,0.20743612426177133,2.940953247298601,0.9384376736516961,0.9108758218568862,0.6641355752944946,0.49214944531117555,0.4972935477825429,0.34048236533999443,0.586483521055312,0.5063301324378795,0.4263531140290508,0.8828922517324722,0.140706590079978,0.9331167931055241,4.3589571003842496,1.4735414338079422,4.519868850708008,6.069551697858224,1.0182353386241032,6.027062956026594,2.357955458111128,0.5063301324378795,2.518055893461925,0.45669880299117044,0.4432855898119604,0.3232073187828064,0.2395087805433784,0.24201220244348823,0.165698679164052,0.03402988596030429,0.020032714508705668,0.3587241462608681,-0.055497401449546194,0.1586798820617045,11.70353541867849,19.0,13.671341302945251,15.803057268663752
86,supercifar,VGG13,devries,False,5,2.2,0.0,2.0829050540924072,0.06269787982762734,0.21468785949178473,0.0032646558288666164,0.9830397051974867,0.07243068327749919,0.9997102861401553,9.000764461079477,3.090500952447253,9.30261516571045,12.603980954367428,2.1793992875994297,12.532487265842539,2.8817410993388126,0.21468785949178473,2.9411741044294684,0.9625905269091752,0.9291904521509879,0.6849212646484375,0.4990034727664223,0.5000902561859942,0.34491124749183655,0.6018921310583851,0.5214505906071207,0.434776781112985,0.8789898946413088,0.14521191281418708,0.93151435428043,4.321255279959314,1.4837454776480445,4.466173410415649,6.051154819166668,1.0463267567321273,6.01683075980259,2.3425468481080554,0.5214505906071207,2.5096479123731155,0.4621384566848568,0.44610312436234684,0.3288297653198242,0.23957091646402334,0.24009268001104603,0.16559143364429474,0.029654126261499637,0.02099753548222694,0.38055718845106845,-0.05549832740815692,0.16151610257718374,11.830995936249302,19.0,13.59915469852788,15.741505167181172
87,supercifar,VGG13,devries,True,1,2.2,0.0,2.334373950958252,0.21077284287107728,0.45617284604792174,0.004020763686027502,0.9373500379991991,0.1506441425399683,0.999610888471326,8.665261805297513,5.092829023220213,8.58508014678955,16.04434774798085,5.7042327992825035,15.359368625770179,2.733666136295363,0.45617284604792174,2.940418020828468,1.3368840585303934,1.1976882410761112,0.9970853328704834,0.7987019638124069,0.695199490139524,0.6063357591629028,0.9122330646712636,0.849889029507612,0.5970542774500225,0.7749394293286576,0.25287885503846824,0.8952902599034972,3.712028144869365,2.181668033089674,3.6776798963546753,6.873083784696045,2.4435814145955876,6.579652298294305,2.0322059144951767,0.849889029507612,2.3472278641791418,0.5726949012731447,0.5130661442107505,0.4271317720413208,0.34214825076264893,0.29780982142454415,0.2597423195838928,0.16107878934458048,0.07445608772042638,0.7349231142846967,-0.05185144606831276,0.22472166520886183,15.034575880687765,19.0,8.035176095333028,10.455267043094207
88,supercifar,VGG13,devries,True,2,2.2,0.0,2.2712795734405518,0.2153275528954742,0.4635897743096758,0.004479017788223719,0.936240674848944,0.1528265028173066,0.9995646670226541,8.555718868526974,4.988305236810137,8.478114604949951,15.67020242965832,5.469459912519554,15.029042965912842,2.7291114262709657,0.46358977430967585,2.939959286029367,1.349264941610396,1.2088864302973246,1.0066752433776855,0.7572658279286207,0.639255936775038,0.5927406549453735,0.8895025291610992,0.8457546883916659,0.5701688795999679,0.7807195383925419,0.25171777460155037,0.9012672887122546,3.766915782010869,2.1962532911547465,3.732748031616211,6.899283828490267,2.40809629073234,6.616994050378392,2.0549364500053406,0.8457546883916659,2.3741867197319197,0.5940549796660719,0.5322490657670816,0.4432194232940674,0.33340934190484584,0.28145189322999015,0.2609720826148987,0.1524040577486774,0.07553981992263452,0.7736392363899565,-0.05186071268071817,0.22045834802212247,14.715693090984928,19.0,8.095971029333207,10.565145580854544
89,supercifar,VGG13,devries,True,3,2.2,0.0,2.258948564529419,0.20608662612780404,0.45156572255949623,0.0038645385565338544,0.9385102016950531,0.14968662243339362,0.9996289360283257,8.625561407817038,4.959666952421292,8.628724217414856,15.766776372107955,5.475189390169569,15.147293376149952,2.7383523530386364,0.4515657225594961,2.940574264227056,1.39031124841912,1.19956931237664,1.0727579593658447,0.7952141737557433,0.6825797931697408,0.6097702980041504,0.8584621940966526,0.8338109082557464,0.5298115305347184,0.7887442894950893,0.24771461375803058,0.9093995812970401,3.8183965498914842,2.195564357434659,3.819796621799469,6.9796969340890005,2.4237778043276594,6.705461967505148,2.0859767850697875,0.8338109082557466,2.4146248760445594,0.6154683069624497,0.5310299360777653,0.47489261627197266,0.3520284551930274,0.30216703665921424,0.2699354588985443,0.1607943487599994,0.07529695060848453,0.745171780782361,-0.052156570597572185,0.2158377920413013,14.818630038772639,19.0,7.911326203753531,10.501142362503614
90,supercifar,VGG13,devries,True,4,2.2,0.0,2.2642626762390137,0.20217819835068646,0.449102447278177,0.0037181353971754197,0.9398938185187343,0.14845282021072348,0.9996458765618401,8.656797765923958,4.931146768994075,8.661250114440918,15.705820023300568,5.275769079398415,15.257447976481394,2.7422607808157533,0.44910244727817694,2.940720500116665,1.4005096899808238,1.224507351687552,1.0663912296295166,0.7666255278632927,0.6874372630052923,0.5699889063835144,0.8500535382856297,0.8305493555604834,0.5206132432501921,0.7915274856372831,0.24660224706539877,0.9112937755953452,3.8232303420618963,2.1778156841496896,3.8251967430114746,6.936394875326485,2.3300163602929027,6.738373609595696,2.0943854408808105,0.8305493555604834,2.4238242878299188,0.61852792321197,0.5407973924945317,0.4709662199020386,0.3385762329590622,0.3036031420395807,0.2517327070236206,0.14941678128761368,0.07438331740291225,0.8047005415726337,-0.052372495241859635,0.21009475526271262,14.779300328490596,19.0,8.069346904030732,10.640497136643372
91,supercifar,VGG13,devries,True,5,2.2,0.0,2.278393268585205,0.2132731214204254,0.46131510526452213,0.004318271383220014,0.936885587783528,0.1516622093661849,0.9995768900325291,8.518765579640865,4.907608900210838,8.51464295387268,15.538195259043102,5.295681835814755,14.978103325360442,2.731165857746015,0.4613151052645221,2.940120093193251,1.3129207753304784,1.152908060493437,0.9984989166259766,0.8261922809400988,0.7231402521578495,0.6247931122779846,0.8891672979986933,0.8420165251525196,0.5701835096624319,0.7810781622117638,0.25079171534714634,0.9010936891608705,3.7389355471824346,2.153977967199546,3.737126111984253,6.819803883203344,2.324305425580903,6.573976312304949,2.0552716811677465,0.8420165251525197,2.374193633787707,0.5762485311667582,0.5060180244809013,0.4382469654083252,0.3626205770627553,0.3173904445704945,0.27422529458999634,0.15187718318595259,0.07438558235839551,0.767919886745431,-0.052204828622722466,0.21671667381048818,14.56849279297022,19.0,8.131856272315192,10.66757841290417
