method,nc_metric,rho,p,significant
PE,equinorm_uc,-0.7000200881006742,0.0005897511491825668,True
PE,equinorm_wc,0.8250236752615089,7.591695046259912e-06,True
PE,max_equiangular_uc,-0.3780411514742818,0.10029105795533173,False
PE,max_equiangular_wc,0.9523000549161768,1.0206489487821551e-10,True
PE,self_duality,-0.768203862915675,7.629435895410372e-05,True
REN,var_collapse,-0.6169711700884712,0.0037583818818892082,True
REN,equiangular_uc,-0.7698891778895403,7.192540465986403e-05,True
REN,equiangular_wc,0.8736008960516515,4.900414567556279e-07,True
REN,equinorm_uc,-0.7698891778895403,7.192540465986403e-05,True
REN,equinorm_wc,0.7456645429903609,0.00016070825007973174,True
REN,max_equiangular_uc,-0.788814673904524,3.580763682815864e-05,True
REN,max_equiangular_wc,0.5836622971020998,0.006898372991720634,True
REN,self_duality,-0.8221235468908955,8.703619558088831e-06,True
Residual,var_collapse,0.3320918121370662,0.1525718797228573,False
Residual,equiangular_uc,0.19041961705107008,0.42131163445739306,False
Residual,equiangular_wc,-0.4356800838128483,0.054837834178261394,False
Residual,equinorm_uc,0.554501924852716,0.01117138769473775,True
Residual,equinorm_wc,-0.6679920166151537,0.0012872284965722018,True
Residual,max_equiangular_uc,0.20108311560592998,0.39526918348271434,False
Residual,max_equiangular_wc,-0.8363229580882996,4.349236690372601e-06,True
Residual,self_duality,0.6580901965284981,0.0016090442418877104,True
ViM,var_collapse,0.9115000392139032,2.2858610047259357e-08,True
ViM,equiangular_uc,0.612760294593085,0.004073135386318318,True
ViM,equiangular_wc,-0.7105574488423555,0.0004463151666214567,True
ViM,equinorm_uc,0.8496127775405368,2.1362198417749808e-06,True
ViM,equinorm_wc,-0.5569853550602979,0.010739683188535206,True
ViM,max_equiangular_uc,0.6005356503119261,0.005112792634500906,True
ViM,max_equiangular_wc,-0.44085123438928936,0.051703699030571204,False
ViM,self_duality,0.8098826836267706,1.5104767607737318e-05,True
fDBD,var_collapse,0.711833384239102,0.00043115798504489135,True
fDBD,equiangular_uc,0.33690404830974596,0.14635405096079857,False
fDBD,equiangular_wc,-0.1962104841171884,0.4070569007684285,False
fDBD,equinorm_uc,0.3878579337200236,0.09107428758716474,False
fDBD,equinorm_wc,-0.27302156510880093,0.244154891514196,False
fDBD,max_equiangular_uc,0.3224544390142941,0.16557115967119698,False
fDBD,max_equiangular_wc,0.055516919924630835,0.8161719107367761,False
fDBD,self_duality,0.3650427611482575,0.11351590574671654,False
pNML,var_collapse,0.22839440395814978,0.33278171328520434,False
pNML,equiangular_uc,0.30733609391683914,0.1874627123025428,False
pNML,equiangular_wc,-0.48591292654183543,0.029843817149748146,True
pNML,equinorm_uc,0.5648546165005248,0.009460249026384546,True
pNML,equinorm_wc,-0.7120080579769166,0.0004291174655392516,True
pNML,max_equiangular_uc,0.3042703972194143,0.19212888317224064,False
pNML,max_equiangular_wc,-0.8951834356480501,9.859442260396107e-08,True
pNML,self_duality,0.6698547283873252,0.0012331989470533644,True
