,var_collapse,cdnv_score,bias_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality,w_etf_diff,M_etf_diff,wM_etf_diff,dataset,architecture,study,dropout,run,reward,lr
10,0.009668976068496704,0.5231209397315979,0.7511844635009766,0.06734941154718399,0.08072974532842636,0.029734864830970764,0.011666522361338139,0.0544404573738575,0.06308282166719437,0.037965528666973114,0.22415612637996674,0.18809588253498077,0.20676268637180328,cifar10,VGG13,confidnet,False,1,2.2,
11,0.009663324803113937,0.6058580279350281,0.8445622324943542,0.06724337488412857,0.08025090396404266,0.026592347770929337,0.014846253208816051,0.05382717028260231,0.06246443837881088,0.03784841299057007,0.2228778600692749,0.18780305981636047,0.20398655533790588,cifar10,VGG13,confidnet,False,2,2.2,
12,0.009668237529695034,0.6144286394119263,0.7944136261940002,0.06070731207728386,0.08094413578510284,0.023729294538497925,0.013967704959213734,0.04889070615172386,0.06297323852777481,0.03753916919231415,0.22473029792308807,0.1699584573507309,0.1960664540529251,cifar10,VGG13,confidnet,False,3,2.2,
13,0.009840245358645916,0.617763340473175,0.8220707774162292,0.06795964390039444,0.08159209787845612,0.02554216980934143,0.015067081898450851,0.055733393877744675,0.06343044340610504,0.036714885383844376,0.22646167874336243,0.18974840641021729,0.20759081840515137,cifar10,VGG13,confidnet,False,4,2.2,
14,0.00954227801412344,0.6085225343704224,0.8198390007019043,0.06257425248622894,0.0809527114033699,0.024139709770679474,0.016542648896574974,0.05130920559167862,0.06318039447069168,0.03838216885924339,0.22475484013557434,0.175067737698555,0.19900226593017578,cifar10,VGG13,confidnet,False,5,2.2,
15,0.015083535574376583,1.113963007926941,1.6772791147232056,0.13729576766490936,0.13691209256649017,0.08820246160030365,0.0358736626803875,0.11442290246486664,0.11227461695671082,0.09118928760290146,0.36763057112693787,0.3688437342643738,0.3764265477657318,cifar10,VGG13,confidnet,True,1,2.2,
16,0.016277732327580452,1.2433345317840576,1.9747620820999146,0.14545118808746338,0.13513757288455963,0.08534657210111618,0.035578180104494095,0.12197136133909225,0.10984749346971512,0.09102457761764526,0.36332738399505615,0.3883308470249176,0.38948047161102295,cifar10,VGG13,confidnet,True,2,2.2,
17,0.01606271229684353,1.2033013105392456,1.8441792726516724,0.14334407448768616,0.13336612284183502,0.09077155590057373,0.03372529149055481,0.11763251572847366,0.10870281606912613,0.08771633356809616,0.359010249376297,0.38336846232414246,0.3824547529220581,cifar10,VGG13,confidnet,True,3,2.2,
18,0.016311682760715485,1.2317866086959839,1.7999680042266846,0.14622707664966583,0.1348656266927719,0.09096655994653702,0.03367520868778229,0.11965324729681015,0.11023008823394775,0.08893392980098724,0.36266303062438965,0.3902248740196228,0.3851204812526703,cifar10,VGG13,confidnet,True,4,2.2,
19,0.016210710629820824,1.242061734199524,1.867042064666748,0.1416708528995514,0.13804423809051514,0.08836472034454346,0.03399302437901497,0.11645358055830002,0.11330657452344894,0.09285148978233337,0.3703608512878418,0.37935206294059753,0.38372960686683655,cifar10,VGG13,confidnet,True,5,2.2,
