ArrayTaskID     ModelPath                                                       RankWeight                  RankFeature                 ASH            CUDA                 TemperatureScale                  
21              cifar100_paper_sweep/dg_bbvgg13_do0_run1_rew6                   --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
22              cifar100_paper_sweep/dg_bbvgg13_do0_run1_rew10                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
23              cifar100_paper_sweep/dg_bbvgg13_do0_run1_rew12                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
24              cifar100_paper_sweep/dg_bbvgg13_do0_run1_rew15                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
25              cifar100_paper_sweep/dg_bbvgg13_do0_run1_rew20                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
26              cifar100_paper_sweep/dg_bbvgg13_do0_run2_rew6                   --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
27              cifar100_paper_sweep/dg_bbvgg13_do0_run2_rew10                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
28              cifar100_paper_sweep/dg_bbvgg13_do0_run2_rew12                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
29              cifar100_paper_sweep/dg_bbvgg13_do0_run2_rew15                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
30              cifar100_paper_sweep/dg_bbvgg13_do0_run2_rew20                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
31              cifar100_paper_sweep/dg_bbvgg13_do0_run3_rew6                   --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
32              cifar100_paper_sweep/dg_bbvgg13_do0_run3_rew10                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
33              cifar100_paper_sweep/dg_bbvgg13_do0_run3_rew12                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
34              cifar100_paper_sweep/dg_bbvgg13_do0_run3_rew15                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
35              cifar100_paper_sweep/dg_bbvgg13_do0_run3_rew20                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
36              cifar100_paper_sweep/dg_bbvgg13_do0_run4_rew6                   --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
37              cifar100_paper_sweep/dg_bbvgg13_do0_run4_rew10                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
38              cifar100_paper_sweep/dg_bbvgg13_do0_run4_rew12                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
39              cifar100_paper_sweep/dg_bbvgg13_do0_run4_rew15                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
40              cifar100_paper_sweep/dg_bbvgg13_do0_run4_rew20                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
41              cifar100_paper_sweep/dg_bbvgg13_do0_run5_rew6                   --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
42              cifar100_paper_sweep/dg_bbvgg13_do0_run5_rew10                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
43              cifar100_paper_sweep/dg_bbvgg13_do0_run5_rew12                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
44              cifar100_paper_sweep/dg_bbvgg13_do0_run5_rew15                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
45              cifar100_paper_sweep/dg_bbvgg13_do0_run5_rew20                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
46              cifar100_paper_sweep/dg_bbvgg13_do1_run1_rew6                   --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
47              cifar100_paper_sweep/dg_bbvgg13_do1_run1_rew10                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
48              cifar100_paper_sweep/dg_bbvgg13_do1_run1_rew12                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
49              cifar100_paper_sweep/dg_bbvgg13_do1_run1_rew15                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
50              cifar100_paper_sweep/dg_bbvgg13_do1_run1_rew20                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
51              cifar100_paper_sweep/dg_bbvgg13_do1_run2_rew6                   --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
52              cifar100_paper_sweep/dg_bbvgg13_do1_run2_rew10                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
53              cifar100_paper_sweep/dg_bbvgg13_do1_run2_rew12                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
54              cifar100_paper_sweep/dg_bbvgg13_do1_run2_rew15                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
55              cifar100_paper_sweep/dg_bbvgg13_do1_run2_rew20                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
56              cifar100_paper_sweep/dg_bbvgg13_do1_run3_rew6                   --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
57              cifar100_paper_sweep/dg_bbvgg13_do1_run3_rew10                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
58              cifar100_paper_sweep/dg_bbvgg13_do1_run3_rew12                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
59              cifar100_paper_sweep/dg_bbvgg13_do1_run3_rew15                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
60              cifar100_paper_sweep/dg_bbvgg13_do1_run3_rew20                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
61              cifar100_paper_sweep/dg_bbvgg13_do1_run4_rew6                   --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
62              cifar100_paper_sweep/dg_bbvgg13_do1_run4_rew10                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
63              cifar100_paper_sweep/dg_bbvgg13_do1_run4_rew12                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
64              cifar100_paper_sweep/dg_bbvgg13_do1_run4_rew15                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
65              cifar100_paper_sweep/dg_bbvgg13_do1_run4_rew20                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
66              cifar100_paper_sweep/dg_bbvgg13_do1_run5_rew6                   --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
67              cifar100_paper_sweep/dg_bbvgg13_do1_run5_rew10                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
68              cifar100_paper_sweep/dg_bbvgg13_do1_run5_rew12                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
69              cifar100_paper_sweep/dg_bbvgg13_do1_run5_rew15                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
70              cifar100_paper_sweep/dg_bbvgg13_do1_run5_rew20                  --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale         
541             vit/cifar100_modelvit_bbvit_lr0.01_bs128_run0_do0_rew0              --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale
542             vit/cifar100_modelvit_bbvit_lr0.01_bs128_run1_do0_rew0              --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale
543             vit/cifar100_modelvit_bbvit_lr0.01_bs128_run2_do0_rew0              --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale
544             vit/cifar100_modelvit_bbvit_lr0.01_bs128_run3_do0_rew0              --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale
545             vit/cifar100_modelvit_bbvit_lr0.01_bs128_run4_do0_rew0              --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale
546             vit/cifar100_modelvit_bbvit_lr0.01_bs128_run0_do1_rew0              --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale
547             vit/cifar100_modelvit_bbvit_lr0.01_bs128_run1_do1_rew0              --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale
548             vit/cifar100_modelvit_bbvit_lr0.01_bs128_run2_do1_rew0              --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale
549             vit/cifar100_modelvit_bbvit_lr0.01_bs128_run3_do1_rew0              --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale
550             vit/cifar100_modelvit_bbvit_lr0.01_bs128_run4_do1_rew0              --no-rank_weight            --no-rank_feature           None            --use_cuda          --temperature_scale
551              cifar100_paper_sweep/devries_bbresnet18_do0_run1_rew2.2                 --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
552              cifar100_paper_sweep/devries_bbresnet18_do1_run1_rew2.2                 --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
553              cifar100_paper_sweep/confidnet_bbresnet18_do0_run1_rew2.2               --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
554              cifar100_paper_sweep/confidnet_bbresnet18_do1_run1_rew2.2               --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
555              cifar100_paper_sweep/dg_bbresnet18_do0_run1_rew2.2                      --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
556              cifar100_paper_sweep/dg_bbresnet18_do0_run1_rew3                        --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
557              cifar100_paper_sweep/dg_bbresnet18_do0_run1_rew6                        --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
558              cifar100_paper_sweep/dg_bbresnet18_do0_run1_rew10                       --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
559              cifar100_paper_sweep/dg_bbresnet18_do0_run1_rew12                       --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
560              cifar100_paper_sweep/dg_bbresnet18_do0_run1_rew15                       --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
561              cifar100_paper_sweep/dg_bbresnet18_do0_run1_rew20                       --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
562              cifar100_paper_sweep/dg_bbresnet18_do1_run1_rew2.2                      --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
563              cifar100_paper_sweep/dg_bbresnet18_do1_run1_rew3                        --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
564              cifar100_paper_sweep/dg_bbresnet18_do1_run1_rew6                        --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
565              cifar100_paper_sweep/dg_bbresnet18_do1_run1_rew10                       --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
566              cifar100_paper_sweep/dg_bbresnet18_do1_run1_rew12                       --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
567              cifar100_paper_sweep/dg_bbresnet18_do1_run1_rew15                       --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
568              cifar100_paper_sweep/dg_bbresnet18_do1_run1_rew20                       --no-rank_weight            --no-rank_feature           None           --use_cuda           --temperature_scale    
