encoder,source,n_per_class,seed,family,variant,ood,trial_key,augrc_base,augrc_var,delta_augrc
clip_vitl14,cifar10,25,2,Maha,global,tinyimagenet,maha,136.0425,135.2126,0.8299
clip_vitl14,cifar10,25,2,GradNorm,class pred,tinyimagenet,gradnorm_cp,237.2233,163.5682,73.6552
clip_vitl14,cifar10,25,2,Maha,class pred,tinyimagenet,maha_cp,136.0425,186.0029,-49.9604
clip_vitl14,cifar10,25,2,PCA RecError,class pred,tinyimagenet,recerr_cp,138.2701,136.0557,2.2144
clip_vitl14,cifar10,25,2,PCA RecError,class,tinyimagenet,recerr_class,138.2701,136.6169,1.6532
clip_vitl14,cifar10,25,2,MLS,global,lsun resize,mls,136.1208,135.8569,0.2639
clip_vitl14,cifar10,25,2,Energy,global,lsun resize,energy,136.1109,135.8499,0.2609
clip_vitl14,cifar10,25,2,MSR,global,lsun resize,msr,152.3383,149.59,2.7482
clip_vitl14,cifar10,25,2,GradNorm,global,lsun resize,gradnorm,154.3773,145.9629,8.4144
clip_vitl14,cifar10,25,2,Maha,global,lsun resize,maha,140.1264,134.6167,5.5097
clip_vitl14,cifar10,25,2,GradNorm,class pred,lsun resize,gradnorm_cp,154.3773,205.018,-50.6406
clip_vitl14,cifar10,25,2,Maha,class pred,lsun resize,maha_cp,140.1264,162.0707,-21.9443
clip_vitl14,cifar10,25,2,PCA RecError,class pred,lsun resize,recerr_cp,154.4496,147.4565,6.9932
clip_vitl14,cifar10,25,2,PCA RecError,class,lsun resize,recerr_class,154.4496,148.5944,5.8553
clip_vitl14,cifar10,25,2,MLS,global,isun,mls,122.1757,122.0567,0.119
clip_vitl14,cifar10,25,2,Energy,global,isun,energy,122.1671,122.0513,0.1158
clip_vitl14,cifar10,25,2,MSR,global,isun,msr,136.2647,134.1357,2.129
clip_vitl14,cifar10,25,2,GradNorm,global,isun,gradnorm,141.6825,135.1842,6.4983
clip_vitl14,cifar10,25,2,Maha,global,isun,maha,128.0899,121.6824,6.4075
clip_vitl14,cifar10,25,2,GradNorm,class pred,isun,gradnorm_cp,141.6825,199.2079,-57.5254
clip_vitl14,cifar10,25,2,Maha,class pred,isun,maha_cp,128.0899,148.2934,-20.2035
clip_vitl14,cifar10,25,2,PCA RecError,class pred,isun,recerr_cp,147.4654,137.9457,9.5196
clip_vitl14,cifar10,25,2,PCA RecError,class,isun,recerr_class,147.4654,139.5783,7.8871
clip_vitl14,cifar10,25,2,MLS,global,places365,mls,146.1939,147.9359,-1.742
clip_vitl14,cifar10,25,2,Energy,global,places365,energy,146.1894,147.9362,-1.7468
clip_vitl14,cifar10,25,2,MSR,global,places365,msr,148.0077,148.0157,-0.008
clip_vitl14,cifar10,25,2,GradNorm,global,places365,gradnorm,265.8001,136.1256,129.6745
clip_vitl14,cifar10,25,2,Maha,global,places365,maha,135.6747,133.1098,2.5648
clip_vitl14,cifar10,25,2,GradNorm,class pred,places365,gradnorm_cp,265.8001,145.9944,119.8057
clip_vitl14,cifar10,25,2,Maha,class pred,places365,maha_cp,135.6747,180.7375,-45.0629
clip_vitl14,cifar10,25,2,PCA RecError,class pred,places365,recerr_cp,137.2194,135.0993,2.1201
clip_vitl14,cifar10,25,2,PCA RecError,class,places365,recerr_class,137.2194,135.6041,1.6152
clip_vitl14,cifar10,25,2,MLS,global,lsun cropped,mls,135.2867,135.3689,-0.0821
clip_vitl14,cifar10,25,2,Energy,global,lsun cropped,energy,135.2772,135.3628,-0.0856
clip_vitl14,cifar10,25,2,MSR,global,lsun cropped,msr,149.0692,149.0887,-0.0195
clip_vitl14,cifar10,25,2,GradNorm,global,lsun cropped,gradnorm,152.5951,143.7917,8.8034
clip_vitl14,cifar10,25,2,Maha,global,lsun cropped,maha,156.3948,139.079,17.3157
clip_vitl14,cifar10,25,2,GradNorm,class pred,lsun cropped,gradnorm_cp,152.5951,176.0073,-23.4122
clip_vitl14,cifar10,25,2,Maha,class pred,lsun cropped,maha_cp,156.3948,203.564,-47.1693
clip_vitl14,cifar10,25,2,PCA RecError,class pred,lsun cropped,recerr_cp,186.1323,164.767,21.3653
clip_vitl14,cifar10,25,2,PCA RecError,class,lsun cropped,recerr_class,186.1323,168.7526,17.3796
clip_vitl14,cifar10,25,2,MLS,global,textures,mls,75.3323,75.0391,0.2933
clip_vitl14,cifar10,25,2,Energy,global,textures,energy,75.3303,75.0394,0.2909
clip_vitl14,cifar10,25,2,MSR,global,textures,msr,83.9574,82.6435,1.3138
clip_vitl14,cifar10,25,2,GradNorm,global,textures,gradnorm,172.9568,74.4414,98.5154
clip_vitl14,cifar10,25,2,Maha,global,textures,maha,76.3845,72.1959,4.1886
clip_vitl14,cifar10,25,2,GradNorm,class pred,textures,gradnorm_cp,172.9568,77.8038,95.153
clip_vitl14,cifar10,25,2,Maha,class pred,textures,maha_cp,76.3845,139.1071,-62.7226
clip_vitl14,cifar10,25,2,PCA RecError,class pred,textures,recerr_cp,78.9762,75.4436,3.5326
clip_vitl14,cifar10,25,2,PCA RecError,class,textures,recerr_class,78.9762,76.2882,2.688
clip_vitl14,cifar10,25,2,MLS,global,svhn,mls,270.2138,270.1266,0.0873
clip_vitl14,cifar10,25,2,Energy,global,svhn,energy,270.2066,270.1237,0.0829
clip_vitl14,cifar10,25,2,MSR,global,svhn,msr,276.8286,275.9482,0.8804
clip_vitl14,cifar10,25,2,GradNorm,global,svhn,gradnorm,277.6927,271.051,6.6417
clip_vitl14,cifar10,25,2,Maha,global,svhn,maha,274.1821,273.1548,1.0274
clip_vitl14,cifar10,25,2,GradNorm,class pred,svhn,gradnorm_cp,277.6927,279.5726,-1.8799
clip_vitl14,cifar10,25,2,Maha,class pred,svhn,maha_cp,274.1821,303.256,-29.0739
clip_vitl14,cifar10,25,2,PCA RecError,class pred,svhn,recerr_cp,287.6895,276.8051,10.8844
clip_vitl14,cifar10,25,2,PCA RecError,class,svhn,recerr_class,287.6895,280.4985,7.191
clip_vitl14,cifar10,100,0,MLS,global,cifar100,mls,134.278,134.5716,-0.2936
clip_vitl14,cifar10,100,0,Energy,global,cifar100,energy,134.2815,134.5755,-0.294
clip_vitl14,cifar10,100,0,MSR,global,cifar100,msr,137.7736,137.8544,-0.0808
clip_vitl14,cifar10,100,0,GradNorm,global,cifar100,gradnorm,190.5635,155.7186,34.8448
clip_vitl14,cifar10,100,0,Maha,global,cifar100,maha,166.6814,149.1477,17.5337
