Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,method,feature,Variable,Bin id,Coefficient,Points
,20,1.0,15,5,0.25,,0.0,0.0,GradNorm,max_equiangular_wc,,,,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,GradNorm,self_duality,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,self_duality,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,self_duality,,,,
,20,1.0,15,5,0.25,,0.0,0.0,GradNorm,self_duality,,,,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,GradNorm,,var_collapse,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,,var_collapse,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,,var_collapse,2.0,0.0,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,GradNorm,,equiangular_uc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,,equiangular_uc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,,equiangular_uc,2.0,0.0,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,GradNorm,,equiangular_wc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,,equiangular_wc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,,equiangular_wc,2.0,0.0,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,GradNorm,,equinorm_uc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,,equinorm_uc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,,equinorm_uc,2.0,0.0,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,GradNorm,,equinorm_wc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,,equinorm_wc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,,equinorm_wc,2.0,0.0,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,GradNorm,,max_equiangular_uc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,,max_equiangular_uc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,,max_equiangular_uc,2.0,0.0,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,GradNorm,,max_equiangular_wc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,,max_equiangular_wc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,,max_equiangular_wc,2.0,0.0,
"(-inf, inf)",20,1.0,15,5,0.25,-2.220446049250313e-16,0.0,0.0,GradNorm,,self_duality,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,,self_duality,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,GradNorm,,self_duality,2.0,0.0,
"(-inf, inf)",20,1.0,5,15,0.75,-4.440892098500626e-16,0.0,0.0,Residual,var_collapse,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,var_collapse,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,var_collapse,,,,
,20,1.0,5,15,0.75,,0.0,0.0,Residual,var_collapse,,,,
"(-inf, inf)",20,1.0,5,15,0.75,-4.440892098500626e-16,0.0,0.0,Residual,equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,equiangular_uc,,,,
,20,1.0,5,15,0.75,,0.0,0.0,Residual,equiangular_uc,,,,
"(-inf, inf)",20,1.0,5,15,0.75,-4.440892098500626e-16,0.0,0.0,Residual,equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,equiangular_wc,,,,
,20,1.0,5,15,0.75,,0.0,0.0,Residual,equiangular_wc,,,,
"(-inf, inf)",20,1.0,5,15,0.75,-4.440892098500626e-16,0.0,0.0,Residual,equinorm_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,equinorm_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,equinorm_uc,,,,
,20,1.0,5,15,0.75,,0.0,0.0,Residual,equinorm_uc,,,,
"(-inf, inf)",20,1.0,5,15,0.75,-4.440892098500626e-16,0.0,0.0,Residual,equinorm_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,equinorm_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,equinorm_wc,,,,
,20,1.0,5,15,0.75,,0.0,0.0,Residual,equinorm_wc,,,,
"(-inf, inf)",20,1.0,5,15,0.75,-4.440892098500626e-16,0.0,0.0,Residual,max_equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,max_equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,max_equiangular_uc,,,,
,20,1.0,5,15,0.75,,0.0,0.0,Residual,max_equiangular_uc,,,,
"(-inf, inf)",20,1.0,5,15,0.75,-4.440892098500626e-16,0.0,0.0,Residual,max_equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,max_equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,max_equiangular_wc,,,,
,20,1.0,5,15,0.75,,0.0,0.0,Residual,max_equiangular_wc,,,,
"(-inf, inf)",20,1.0,5,15,0.75,-4.440892098500626e-16,0.0,0.0,Residual,self_duality,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,self_duality,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,self_duality,,,,
,20,1.0,5,15,0.75,,0.0,0.0,Residual,self_duality,,,,
"(-inf, inf)",20,1.0,5,15,0.75,-4.440892098500626e-16,0.0,0.0,Residual,,var_collapse,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,,var_collapse,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,,var_collapse,2.0,0.0,
"(-inf, inf)",20,1.0,5,15,0.75,-4.440892098500626e-16,0.0,0.0,Residual,,equiangular_uc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,,equiangular_uc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,,equiangular_uc,2.0,0.0,
"(-inf, inf)",20,1.0,5,15,0.75,-4.440892098500626e-16,0.0,0.0,Residual,,equiangular_wc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,,equiangular_wc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,,equiangular_wc,2.0,0.0,
"(-inf, inf)",20,1.0,5,15,0.75,-4.440892098500626e-16,0.0,0.0,Residual,,equinorm_uc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,,equinorm_uc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,,equinorm_uc,2.0,0.0,
"(-inf, inf)",20,1.0,5,15,0.75,-4.440892098500626e-16,0.0,0.0,Residual,,equinorm_wc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,,equinorm_wc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,,equinorm_wc,2.0,0.0,
"(-inf, inf)",20,1.0,5,15,0.75,-4.440892098500626e-16,0.0,0.0,Residual,,max_equiangular_uc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,,max_equiangular_uc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,,max_equiangular_uc,2.0,0.0,
"(-inf, inf)",20,1.0,5,15,0.75,-4.440892098500626e-16,0.0,0.0,Residual,,max_equiangular_wc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,,max_equiangular_wc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,,max_equiangular_wc,2.0,0.0,
"(-inf, inf)",20,1.0,5,15,0.75,-4.440892098500626e-16,0.0,0.0,Residual,,self_duality,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,,self_duality,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Residual,,self_duality,2.0,0.0,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,ViM,var_collapse,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,var_collapse,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,var_collapse,,,,
,20,1.0,10,10,0.5,,0.0,0.0,ViM,var_collapse,,,,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,ViM,equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,equiangular_uc,,,,
,20,1.0,10,10,0.5,,0.0,0.0,ViM,equiangular_uc,,,,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,ViM,equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,equiangular_wc,,,,
,20,1.0,10,10,0.5,,0.0,0.0,ViM,equiangular_wc,,,,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,ViM,equinorm_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,equinorm_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,equinorm_uc,,,,
,20,1.0,10,10,0.5,,0.0,0.0,ViM,equinorm_uc,,,,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,ViM,equinorm_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,equinorm_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,equinorm_wc,,,,
,20,1.0,10,10,0.5,,0.0,0.0,ViM,equinorm_wc,,,,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,ViM,max_equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,max_equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,max_equiangular_uc,,,,
,20,1.0,10,10,0.5,,0.0,0.0,ViM,max_equiangular_uc,,,,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,ViM,max_equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,max_equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,max_equiangular_wc,,,,
,20,1.0,10,10,0.5,,0.0,0.0,ViM,max_equiangular_wc,,,,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,ViM,self_duality,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,self_duality,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,self_duality,,,,
,20,1.0,10,10,0.5,,0.0,0.0,ViM,self_duality,,,,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,ViM,,var_collapse,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,,var_collapse,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,,var_collapse,2.0,0.0,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,ViM,,equiangular_uc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,,equiangular_uc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,,equiangular_uc,2.0,0.0,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,ViM,,equiangular_wc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,,equiangular_wc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,,equiangular_wc,2.0,0.0,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,ViM,,equinorm_uc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,,equinorm_uc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,,equinorm_uc,2.0,0.0,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,ViM,,equinorm_wc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,,equinorm_wc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,,equinorm_wc,2.0,0.0,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,ViM,,max_equiangular_uc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,,max_equiangular_uc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,,max_equiangular_uc,2.0,0.0,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,ViM,,max_equiangular_wc,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,,max_equiangular_wc,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,,max_equiangular_wc,2.0,0.0,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,ViM,,self_duality,0.0,0.0,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,,self_duality,1.0,0.0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,ViM,,self_duality,2.0,0.0,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,pNML,var_collapse,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,pNML,var_collapse,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,pNML,var_collapse,,,,
,20,1.0,10,10,0.5,,0.0,0.0,pNML,var_collapse,,,,
"(-inf, inf)",20,1.0,10,10,0.5,0.0,0.0,0.0,pNML,equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,pNML,equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,pNML,equiangular_uc,,,,
