model,drop out,methods,reward,test,cifar100,svhn,tinyimagenet,lsun cropped,lsun resize,isun,textures,places365
confidnet,do1,Energy,rew2.2,0.025103125530774054,0.41775821389931067,0.49840316232127535,0.32915287464798737,0.3599541508994872,0.30727126415101136,0.2985411756597643,0.3188985925240014,0.38228270065343084
confidnet,do0,CTMmeanOC,rew2.2,0.025644981144321788,0.4231906005108392,0.5532278833827735,0.4126408567569722,0.41904545161724344,0.39984462281503386,0.38817217473368965,0.32646504772870566,0.4145468665709549
confidnet,do1,pNML,rew2.2,0.029312182493749592,0.451063002329102,0.6383615972683051,0.4644663297368794,0.4700729536777332,0.45661082039442935,0.442589418859826,0.3642400229004604,0.4436597994509734
confidnet,do0,NeCo,rew2.2,0.02944054167976975,0.402057571133514,0.5096952522454931,0.33663804305225936,0.3275274805287974,0.320549448358299,0.3058954079896809,0.303566392265008,0.3809965741424775
confidnet,do0,MLS,rew2.2,0.02961978890853478,0.4020371084140658,0.5096318254928792,0.3365039153838277,0.32725925289684005,0.32040650618344196,0.3057934800166375,0.3034923919404305,0.38101940611791757
confidnet,do1,GEN,rew2.2,0.030373964822223324,0.42263248553294797,0.5225484576773773,0.3880275620079138,0.4180833678608214,0.3919349927449072,0.37491714520768327,0.32315429403505586,0.41533079933334466
confidnet,do0,KPCA RecError global,rew2.2,0.030695401485533628,0.42661876940084764,0.6044545527588636,0.43290079272596554,0.4566523299489814,0.41894582175108225,0.40866990258908553,0.3382106310423244,0.4181904788424652
confidnet,do1,CTM,rew2.2,0.03207731869586515,0.4041073046409571,0.5558407966132444,0.3835350581233278,0.37541410039929274,0.37081079263149413,0.3534110736534131,0.30163714683111964,0.38008082341500976
confidnet,do1,REN,rew2.2,0.03421838432303372,0.4281034700719153,0.5250514418616647,0.40764193291444395,0.4220539117464009,0.41334651693658947,0.3954187503728823,0.3288158778051066,0.4216079783716753
devries,do1,NNGuide,rew2.2,0.02057558254739146,0.4075509449238419,0.45187991629968793,0.33159436356571853,0.347694802394349,0.31690932615922646,0.3060565878564418,0.3040086709958105,0.38415046144195386
devries,do1,PCE,rew2.2,0.02144458109620097,0.407414684613768,0.4831793306916199,0.34110230944290165,0.36079439752758197,0.3265879914094444,0.3133840205045417,0.3032015978352473,0.3891406632391516
devries,do1,PCA RecError global,rew2.2,0.022219333555332843,0.4424349439220421,0.534645451961274,0.4251448582912225,0.43432288623293225,0.41826963866277633,0.4088892911442647,0.34817531917426736,0.44608785169138526
devries,do1,MSR,rew2.2,0.023078719986421255,0.41364440261888935,0.49328241796575883,0.3634712392567678,0.3826037884152917,0.35237424680537294,0.3394672957003177,0.3122766206244259,0.3995909793429411
devries,do1,GE,rew2.2,0.02333792519063595,0.4040795752625118,0.4732686104061653,0.32833504347532755,0.3437802665040801,0.3097237816933115,0.2979350073148886,0.3013515015156127,0.37678072306346716
devries,do1,Energy,rew2.2,0.02373014115401002,0.4141116268384207,0.4853524537404131,0.3467825002730317,0.3537757576461314,0.32982856781824704,0.3192073753019611,0.31649937516875637,0.3813466644031652
devries,do1,PE,rew2.2,0.0240053209205905,0.4070454050230127,0.48269384265115667,0.33515308985541736,0.3535939262489516,0.31845380032572396,0.3059533285859267,0.30481743738446776,0.3837784088714926
devries,do1,GEN,rew2.2,0.02476757867123268,0.42497169012096037,0.5158300982899217,0.40597946982917243,0.41895778733134675,0.4039946240080929,0.3906430543328487,0.3283960698679986,0.4213333854815912
devries,do1,CTMmeanOC,rew2.2,0.024844605201666217,0.4161034231943124,0.5068701947393004,0.3618169989493335,0.4086818173382096,0.3559602561742789,0.3421713747412778,0.3104932381810534,0.41317992548821475
