model,drop out,methods,reward,test,cifar10,svhn,lsun cropped,lsun resize,isun,textures,places365
devries,do1,MCD-EMaha,rew2.2,0.0195781303451172,0.21566183810226383,0.4020333511573358,0.21573741203175345,0.21576168218599762,0.18838884787212862,0.07584007433926807,0.21522208372550908
devries,do1,MCD-EViM,rew2.2,0.0200258143909862,0.21586240071934298,0.4023989563379439,0.21596550840173173,0.21617179488773708,0.18882881678264737,0.07628726776353512,0.21556500996044345
devries,do1,MCD-EViM,rew2.2,0.0200258143909862,0.21586240071934298,0.4023989563379439,0.21596550840173173,0.21617179488773708,0.18882881678264737,0.07628726776353512,0.21556500996044345
devries,do1,MCD-EResidual,rew2.2,0.020026586064997638,0.21587425335716054,0.40240544750682916,0.21599968411407144,0.21619697900323304,0.18883008273346458,0.07630547004840907,0.21559530280569011
devries,do1,MCD-EResidual,rew2.2,0.020026586064997638,0.21587425335716054,0.40240544750682916,0.21599968411407144,0.21619697900323304,0.18883008273346458,0.07630547004840907,0.21559530280569011
devries,do1,MCD-Maha,rew2.2,0.02010061752496552,0.2161959234706144,0.40216057500295604,0.21592559380068246,0.21612676439091172,0.1887131237018587,0.0762678812136405,0.21532375237840995
devries,do1,MCD-Maha,rew2.2,0.02010061752496552,0.2161959234706144,0.40216057500295604,0.21592559380068246,0.21612676439091172,0.1887131237018587,0.0762678812136405,0.21532375237840995
devries,do1,MCD-ECTMmeanOC,rew2.2,0.0204825713654999,0.21666715676727585,0.3060214648765058,0.153685440573956,0.20318655134703537,0.1663731501298938,0.06316808443539745,0.22505101131140784
devries,do1,MCD-ECTMmeanOC,rew2.2,0.0204825713654999,0.21666715676727585,0.3060214648765058,0.153685440573956,0.20318655134703537,0.1663731501298938,0.06316808443539745,0.22505101131140784
devries,do1,MCD-Residual,rew2.2,0.02050594087556672,0.21596147635228444,0.4024834986977752,0.21662872266331318,0.21647570854886386,0.18904820526258118,0.07655616093801598,0.2159418900241538
devries,do1,MCD-Residual,rew2.2,0.02050594087556672,0.21596147635228444,0.4024834986977752,0.21662872266331318,0.21647570854886386,0.18904820526258118,0.07655616093801598,0.2159418900241538
devries,do1,MCD-NeCo,rew2.2,0.02061363216494924,0.21010411468477677,0.3441775384796511,0.14648631396097372,0.2016845269113853,0.16815373869382008,0.06654900296526416,0.21475959979111647
devries,do1,MCD-NeCo,rew2.2,0.02061363216494924,0.21010411468477677,0.3441775384796511,0.14648631396097372,0.2016845269113853,0.16815373869382008,0.06654900296526416,0.21475959979111647
devries,do1,MCD-Confidence,rew2.2,0.02070786290564668,0.1962830716784197,0.42657770526636324,0.1779640632674769,0.24998220287356956,0.22067291362767455,0.1453519646587193,0.2314993355057014
devries,do1,MCD-Confidence,rew2.2,0.02070786290564668,0.1962830716784197,0.42657770526636324,0.1779640632674769,0.24998220287356956,0.22067291362767455,0.1453519646587193,0.2314993355057014
devries,do1,MCD-MLS,rew2.2,0.020783880057998038,0.2098564723362772,0.346045444522525,0.1465862214224141,0.20236797335711657,0.1688606851460487,0.06718172601692537,0.21467999883986652
devries,do1,MCD-MLS,rew2.2,0.020783880057998038,0.2098564723362772,0.346045444522525,0.1465862214224141,0.20236797335711657,0.1688606851460487,0.06718172601692537,0.21467999883986652
devries,do1,MCD-KPCA RecError global,rew2.2,0.0208584580910992,0.21428893704148422,0.2884993536557603,0.15602151858483404,0.18666866513199012,0.15166796081812867,0.05918605704683368,0.22160274627442825
devries,do1,MCD-KPCA RecError global,rew2.2,0.0208584580910992,0.21428893704148422,0.2884993536557603,0.15602151858483404,0.18666866513199012,0.15166796081812867,0.05918605704683368,0.22160274627442825
devries,do1,MCD-ECTMmean,rew2.2,0.02116862886787168,0.21723211757065272,0.30330622633456616,0.15192840251962272,0.2005594378813357,0.16409898681371754,0.06304128867105434,0.2240990488068733
devries,do1,MCD-ECTMmean,rew2.2,0.02116862886787168,0.21723211757065272,0.30330622633456616,0.15192840251962272,0.2005594378813357,0.16409898681371754,0.06304128867105434,0.2240990488068733
devries,do1,MCD-REN,rew2.2,0.021502284868137038,0.20913251599628793,0.3463012992354395,0.15727404028110742,0.2106306722084476,0.17552578712639444,0.07194495163861576,0.22188761316454936
devries,do1,MCD-REN,rew2.2,0.021502284868137038,0.20913251599628793,0.3463012992354395,0.15727404028110742,0.2106306722084476,0.17552578712639444,0.07194495163861576,0.22188761316454936
devries,do1,MCD-ENeCo,rew2.2,0.02196883941976208,0.21045222102075284,0.3465320158747468,0.1438887574614519,0.19222122483379003,0.1595961215734607,0.06523265532646978,0.21800138845202546
devries,do1,MCD-ENeCo,rew2.2,0.02196883941976208,0.21045222102075284,0.3465320158747468,0.1438887574614519,0.19222122483379003,0.1595961215734607,0.06523265532646978,0.21800138845202546
devries,do1,MCD-EGE,rew2.2,0.022486670464126817,0.2110585879090555,0.35144351851426797,0.14015038632626703,0.19494520136655605,0.16362763260022484,0.06282799204821263,0.21200205732639246
devries,do1,MCD-EGE,rew2.2,0.022486670464126817,0.2110585879090555,0.35144351851426797,0.14015038632626703,0.19494520136655605,0.16362763260022484,0.06282799204821263,0.21200205732639246
devries,do1,MCD-CTMmean,rew2.2,0.022576829036716338,0.2201478293993991,0.30190523641466954,0.16193955680392466,0.21601084093587392,0.17793067573096324,0.06095666681695648,0.22233891077839063
devries,do1,MCD-CTMmean,rew2.2,0.022576829036716338,0.2201478293993991,0.30190523641466954,0.16193955680392466,0.21601084093587392,0.17793067573096324,0.06095666681695648,0.22233891077839063
devries,do1,MCD-PCE,rew2.2,0.022916593467570977,0.21069845434022785,0.3457785069697419,0.15143089230276133,0.2139386094598418,0.1783137995975001,0.071955169065752,0.2174771961559862
devries,do1,MCD-PCE,rew2.2,0.022916593467570977,0.21069845434022785,0.3457785069697419,0.15143089230276133,0.2139386094598418,0.1783137995975001,0.071955169065752,0.2174771961559862
devries,do1,MCD-ViM,rew2.2,0.02308465242309774,0.21746318072302948,0.3381071540409008,0.22026067586525772,0.1747459854001719,0.15097918076847344,0.07555516758656838,0.2802242975698002
devries,do1,MCD-ViM,rew2.2,0.02308465242309774,0.21746318072302948,0.3381071540409008,0.22026067586525772,0.1747459854001719,0.15097918076847344,0.07555516758656838,0.2802242975698002
devries,do1,MCD-EPE,rew2.2,0.02318745083193428,0.21011138390890355,0.3507750555544869,0.14087032293550625,0.2038642395406764,0.16957494153082261,0.06427472939963377,0.21454318624515176
devries,do1,MCD-EPE,rew2.2,0.02318745083193428,0.21011138390890355,0.3507750555544869,0.14087032293550625,0.2038642395406764,0.16957494153082261,0.06427472939963377,0.21454318624515176
devries,do1,MCD-GEN,rew2.2,0.023192600250453478,0.21013682035393924,0.3450104543644302,0.1571299065324278,0.21719632171320818,0.18075346927443298,0.07503192035803893,0.22065188062043378
devries,do1,MCD-GEN,rew2.2,0.023192600250453478,0.21013682035393924,0.3450104543644302,0.1571299065324278,0.21719632171320818,0.18075346927443298,0.07503192035803893,0.22065188062043378
devries,do1,MCD-CTMmeanOC,rew2.2,0.02328406525229044,0.21949546964586059,0.3044135925874417,0.16339059669564376,0.21823153543849347,0.17967826678783985,0.06091972787084732,0.22327133243676073
devries,do1,MCD-CTMmeanOC,rew2.2,0.02328406525229044,0.21949546964586059,0.3044135925874417,0.16339059669564376,0.21823153543849347,0.17967826678783985,0.06091972787084732,0.22327133243676073
devries,do1,MCD-EPCE,rew2.2,0.0234522664047506,0.20975571731278508,0.35051396401429236,0.14473178030824424,0.20899974097476,0.17369755910672957,0.06670985852985194,0.2162159214914357
devries,do1,MCD-EPCE,rew2.2,0.0234522664047506,0.20975571731278508,0.35051396401429236,0.14473178030824424,0.20899974097476,0.17369755910672957,0.06670985852985194,0.2162159214914357
devries,do1,MCD-EMSR,rew2.2,0.02375120160119428,0.20940137588538468,0.35071929941927665,0.1452261414785897,0.2143248248252644,0.1771948516200852,0.06820786515088646,0.2172886108999343
devries,do1,MCD-EMSR,rew2.2,0.02375120160119428,0.20940137588538468,0.35071929941927665,0.1452261414785897,0.2143248248252644,0.1771948516200852,0.06820786515088646,0.2172886108999343
devries,do1,MCD-EGEN,rew2.2,0.02435590938942482,0.20956854599258765,0.35068508144487254,0.1438149984485681,0.213477180395389,0.17585621905448606,0.06728451956428479,0.21763402307177504
devries,do1,MCD-EGEN,rew2.2,0.02435590938942482,0.20956854599258765,0.35068508144487254,0.1438149984485681,0.213477180395389,0.17585621905448606,0.06728451956428479,0.21763402307177504
devries,do1,MCD-PE,rew2.2,0.0245254249832642,0.21111274109666778,0.3455794207806366,0.14668082867643242,0.20361982715651838,0.17004924782527636,0.06695141585127304,0.2148743805240053
