dataset,method,calibration,model,architecture,drop_out,reward,run,ece_l1,ece_l2,mce,ece_l1_bound,ece_l2_bound,k1,bar_p_ood,k2,bar_p2_ood,alpha
ood_sncs_c10,GE,Isotonic,modelvit,ViT,do0,rew0,0,0.23760626051379016,0.07122358761912269,0.44302162811667545,0.3115480108766369,0.44786974035746974,0.08398216107118317,0.4947157633850466,0.027972005406711038,0.33952535842950604,1.2423903590508139
ood_nsncs_lsun_cropped,GE,Isotonic,modelvit,ViT,do0,rew0,0,0.14704412118435514,0.04601101425257223,0.38059570550383304,0.22111498664617096,0.31859269097490517,0.08398216107118317,0.3314931979514787,0.027972005406711038,0.16068503416831376,1.2423903590508139
ood_nsncs_lsun_resize,GE,Isotonic,modelvit,ViT,do0,rew0,0,0.24350429676794325,0.07656201177728335,0.48730960391480677,0.3174250717238209,0.43429277748910233,0.08398216107118317,0.505323270508129,0.027972005406711038,0.3179079127519344,1.2423903590508139
ood_nsncs_isun,GE,Isotonic,modelvit,ViT,do0,rew0,0,0.2096169564353124,0.06312047991539572,0.4170652380092008,0.28822725567480306,0.4021657239180268,0.08398216107118317,0.47242543679127785,0.027972005406711038,0.2823733043004152,1.1088333954528513
ood_nsncs_textures,GE,Isotonic,modelvit,ViT,do0,rew0,0,0.06639991275756137,0.01440588977741158,0.28641250206144236,0.15734593174920802,0.2710309749463985,0.08398216107118317,0.2620453980944956,0.027972005406711038,0.13837180980666913,0.700708162504659
ood_nsncs_places365,GE,Isotonic,modelvit,ViT,do0,rew0,0,0.21087014634225096,0.06211085696616506,0.4421442591369773,0.2848825375962451,0.40712217878198703,0.08398216107118317,0.4465872506612674,0.027972005406711038,0.27664474356471963,1.2423903590508139
val,GE,Beta,modelvit,ViT,do0,rew0,0,0.0193998839259579,0.0019513712162359748,0.25164361227791726,0.11055802318286095,0.23771138259797245,0.0603462758919433,0.6653070866258909,0.015897582613361213,0.5051640742191253,0.09051254089422028
iid_test,GE,Beta,modelvit,ViT,do0,rew0,0,0.017505715606753458,0.0014562501308747714,0.18133807170231436,0.13687962434272985,0.26337932721631707,0.08212274351802495,0.6003266629947274,0.027036237818109578,0.427658624444074,0.11815132314573239
ood_sncs_c100,GE,Beta,modelvit,ViT,do0,rew0,0,0.22828657940493643,0.060034787376342144,0.41284558093248197,0.3015322952425543,0.42953079706361824,0.08212274351802495,0.478135043425628,0.027036237818109578,0.3112366361647645,1.2423903590508139
ood_nsncs_svhn,GE,Beta,modelvit,ViT,do0,rew0,0,0.18990711911590238,0.049260288036915574,0.40216311361983753,0.2286974106317958,0.28860298441306786,0.08212274351802495,0.2740177661787665,0.027036237818109578,0.1006856621429787,3.2341905826810784
ood_sncs_c10,GE,Beta,modelvit,ViT,do0,rew0,0,0.24355450969077888,0.07165044478206545,0.45320805016327803,0.3168002255283967,0.448182519554001,0.08212274351802495,0.505692130798545,0.027036237818109578,0.3407844107780796,1.2423903590508139
ood_nsncs_lsun_cropped,GE,Beta,modelvit,ViT,do0,rew0,0,0.1482985416300744,0.037022740515664725,0.34914963948710404,0.2203349501296311,0.3038988936231697,0.08212274351802495,0.3315819552313129,0.027036237818109578,0.14492923699587187,1.2423903590508139
ood_nsncs_lsun_resize,GE,Beta,modelvit,ViT,do0,rew0,0,0.23629065721412656,0.07074564868131099,0.4580139559686069,0.3095363730517444,0.427108579700099,0.08212274351802495,0.49258160346343527,0.027036237818109578,0.30749152863676993,1.2423903590508139
ood_nsncs_isun,GE,Beta,modelvit,ViT,do0,rew0,0,0.2020030602648913,0.05605011433882024,0.4264366707205818,0.27988758513546763,0.39305653907452687,0.08212274351802495,0.4582415582647446,0.027036237818109578,0.26944056266034305,1.1088333954528513
ood_nsncs_textures,GE,Beta,modelvit,ViT,do0,rew0,0,0.07695504203368436,0.012728925005085722,0.23033250152783916,0.17187809361733736,0.267605417909071,0.08212274351802495,0.29997043633885606,0.027036237818109578,0.13522890431864396,0.700708162504659
ood_nsncs_places365,GE,Beta,modelvit,ViT,do0,rew0,0,0.2117677201544872,0.058293011620032475,0.42223804498190226,0.28501343599210505,0.40233471449159314,0.08212274351802495,0.4483201543644922,0.027036237818109578,0.27040351144343744,1.2423903590508139
val,Energy,Sigmoid,modelvit,ViT,do0,rew0,0,0.01960188837760486,0.00230496133977852,0.3727641545482789,0.11462480094371172,0.240663115306013,0.0625912872262897,0.6895010910506512,0.01495604183997451,0.5325788518257673,0.09051254089422028
iid_test,Energy,Sigmoid,modelvit,ViT,do0,rew0,0,0.01208328073136919,0.0007325703488716627,0.14933440055773645,0.1410844513583246,0.265152763186344,0.0834142240437763,0.6291892459480187,0.02482739627130983,0.45522416176699054,0.11815132314573239
ood_sncs_c100,Energy,Sigmoid,modelvit,ViT,do0,rew0,0,0.24744385706319572,0.06988143891581565,0.4139556074266927,0.32184145131532654,0.442123706492996,0.0834142240437763,0.5137515265461974,0.02482739627130983,0.33282631758084263,1.2423903590508139
ood_nsncs_svhn,Energy,Sigmoid,modelvit,ViT,do0,rew0,0,0.22601968043892848,0.06577843604371299,0.431337172346102,0.26452540724006524,0.31554253982228775,0.0834142240437763,0.3205243283197721,0.02482739627130983,0.12267633808146383,3.2341905826810784
ood_sncs_c10,Energy,Sigmoid,modelvit,ViT,do0,rew0,0,0.2607232229155657,0.08010177590548224,0.4595613623333635,0.3351208171676966,0.4590662734533816,0.0834142240437763,0.53771945397314,0.02482739627130983,0.3603843819342672,1.2423903590508139
ood_nsncs_lsun_cropped,Energy,Sigmoid,modelvit,ViT,do0,rew0,0,0.1756847623260646,0.05038235842088317,0.37704936088329444,0.2465647774521011,0.32585041157494055,0.0834142240437763,0.3778846578904618,0.02482739627130983,0.17165798664817283,1.2423903590508139
ood_nsncs_lsun_resize,Energy,Sigmoid,modelvit,ViT,do0,rew0,0,0.251954641741686,0.08062548695521321,0.45467717163191096,0.326352235993817,0.43882871244525895,0.0834142240437763,0.5218930418124048,0.02482739627130983,0.3275871748311227,1.2423903590508139
ood_nsncs_isun,Energy,Sigmoid,modelvit,ViT,do0,rew0,0,0.22053828196858918,0.0668381669452912,0.4175415831825063,0.2996476361960377,0.40874030007194323,0.0834142240437763,0.4946574663824301,0.02482739627130983,0.29534871286342734,1.1088333954528513
