model,drop out,methods,reward,run,test,cifar10,svhn,tinyimagenet,lsun cropped,lsun resize,isun,textures,places365
confidnet,do1,NeCo,rew2.2,2,0.0677215882247683,0.2762936752984157,0.5148816522090734,0.2410264987872706,0.2385187429547201,0.2463934658329521,0.2280928760782861,0.1743146574125849,0.2884279065071293
confidnet,do1,NeCo,rew2.2,3,0.1120083865702282,0.3051753549715155,0.4735828397005397,0.2918734404840278,0.259239053401283,0.2866053663951741,0.2760588694383524,0.2015107582847624,0.3165687950164821
confidnet,do1,NeCo,rew2.2,4,0.1373332832754043,0.3064003132989077,0.4556894366300432,0.2963968566825217,0.2648427804988607,0.294839456660543,0.281736662457786,0.4673392959068037,0.3310369362996491
confidnet,do1,NeCo,rew2.2,5,0.1425939562390172,0.3213170372470565,0.5787543354395466,0.2654334198393649,0.2913846023732768,0.273639194405302,0.2604480222096427,0.2259589913336883,0.3201501895395401
confidnet,do0,MLS,rew2.2,1,0.1323032273812366,0.3678666830205607,0.5801257890239995,0.409765826064604,0.4127168826862524,0.4296247640242456,0.4051914508764387,0.2793678819321356,0.3814482838910845
confidnet,do0,MLS,rew2.2,2,0.1456772876268323,0.3216418721113936,0.4454976241246291,0.3788393265562216,0.4485618092170912,0.3617221950582371,0.3309915302340404,0.2273157839601267,0.3155746355414228
confidnet,do0,MLS,rew2.2,3,0.0413750431460278,0.3442531843520477,0.4821722086090558,0.3559932848193737,0.4006629556921999,0.3585233053820551,0.3423088660212156,0.2429194741201085,0.3453955587410965
confidnet,do0,MLS,rew2.2,4,0.1400365391147634,0.3406435985166086,0.511284479520479,0.3758760099093045,0.3922540091446923,0.3628254873782662,0.3624963124317807,0.2527960525898857,0.3288064753478328
confidnet,do0,MLS,rew2.2,5,0.1049352314788679,0.3118850811683802,0.5209803327674472,0.3749821400375815,0.3847896333713697,0.3847727095658236,0.372325132987747,0.2070374240637227,0.3044557283569281
confidnet,do0,MSR,rew2.2,1,0.1310226889196803,0.4636072666099253,0.6977576484669563,0.5094837716634417,0.5093808046758593,0.541789973527862,0.4992910859460302,0.3780376272114475,0.4742587856824884
confidnet,do0,MSR,rew2.2,2,0.174178751652085,0.446965430623295,0.5818936722225235,0.4814199307319352,0.5318212984980477,0.4693856287999517,0.433836724842577,0.3320531900137621,0.4461252308513589
confidnet,do0,MSR,rew2.2,3,0.1086312134157599,0.4265217070070919,0.595554065312033,0.4858640940721098,0.4787037468105684,0.482320484139787,0.4637618425655063,0.3065265485030133,0.4431520748444478
confidnet,do0,MSR,rew2.2,4,0.1118639197206755,0.429245034078472,0.6156486010689916,0.4807715541913688,0.457575084426563,0.480839532448886,0.4591189737090669,0.2754427733060832,0.414008042825957
