,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,mce,mce,mce,mce,mce,mce,mce,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound
MCD-PE,do1,Beta,do1,Beta,do1,15.0,Beta,do1,Beta,do1,Beta,do1,20.0,Beta,do1,Beta,do1,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
MCD-CTMmeanOC,do1,Sigmoid,do1,Sigmoid,do1,20.0,Beta,do1,Sigmoid,do1,Beta,do1,20.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid
MCD-Confidence,do1,Beta,do1,Beta,do1,12.0,Isotonic,do1,Beta,do1,Beta,do1,15.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,12.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
MCD-EfDBD,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Beta,do1,Sigmoid,do1,12.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Sigmoid,do1,10.0,Sigmoid
MCD-EMSR,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Beta,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
MCD-PCE,do1,Beta,do1,Isotonic,do1,12.0,Beta,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Beta,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
MCD-GE,do1,Beta,do1,Beta,do1,20.0,Beta,do1,Beta,do1,Beta,do1,20.0,Beta,do1,Beta,do1,Sigmoid,do1,10.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
MCD-ECTMmeanOC,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,20.0,Beta,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid
MCD-ECTMmean,do1,Sigmoid,do1,Sigmoid,do1,20.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,20.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,20.0,Beta,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid
MCD-EGE,do1,Beta,do1,Beta,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,20.0,Beta,do1,Beta,do1,Sigmoid,do1,10.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
MCD-EREN,do1,Beta,do1,Beta,do1,10.0,Beta,do1,Beta,do1,Beta,do1,10.0,Beta,do1,Beta,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
MCD-ECTM,do1,Beta,do1,Sigmoid,do1,15.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,20.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Sigmoid,do1,10.0,Sigmoid
MCD-EMLS,do1,Sigmoid,do1,Sigmoid,do1,12.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,12.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,12.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta
MCD-pNML,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta,do1,Beta,do1,Beta,do1,15.0,Isotonic,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Beta,do1,Beta,do1,20.0,Beta
MCD-ENeCo,do1,Isotonic,do1,Sigmoid,do1,20.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,15.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid
MCD-EGEN,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Beta,do1,Sigmoid,do1,12.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
MCD-EEnergy,do1,Isotonic,do1,Sigmoid,do1,10.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Sigmoid,do1,Beta,do1,10.0,Beta
MCD-MSR,do1,Isotonic,do1,Beta,do1,20.0,Sigmoid,do1,Isotonic,do1,Beta,do1,20.0,Sigmoid,do1,Beta,do1,Sigmoid,do1,20.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
MCD-EPE,do1,Beta,do1,Beta,do1,10.0,Beta,do1,Beta,do1,Beta,do1,10.0,Beta,do1,Beta,do1,Beta,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
MCD-GEN,do1,Beta,do1,Isotonic,do1,10.0,Beta,do1,Beta,do1,Beta,do1,10.0,Beta,do1,Beta,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
MCD-EpNML,do1,Beta,do1,Isotonic,do1,20.0,Beta,do1,Beta,do1,Beta,do1,15.0,Beta,do1,Beta,do1,Beta,do1,15.0,Beta,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Beta,do1,Beta,do1,20.0,Beta
MCD-CTMmean,do1,Sigmoid,do1,Sigmoid,do1,12.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,20.0,Beta,do1,Beta,do1,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid
MCD-fDBD,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Sigmoid,do1,Beta,do1,10.0,Beta,do1,Beta,do1,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
MCD-GradNorm,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid
MCD-NeCo,do1,Sigmoid,do1,Sigmoid,do1,12.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid
MCD-Energy,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta,do1,Beta,do1,Sigmoid,do1,10.0,Beta,do1,Beta,do1,Sigmoid,do1,12.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
MCD-MLS,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,12.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,12.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta
MCD-ENNGuide,do1,Beta,do1,Sigmoid,do1,10.0,Isotonic,do1,Beta,do1,Sigmoid,do1,12.0,Beta,do1,Beta,do1,Sigmoid,do1,12.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
MCD-ViM,do1,Isotonic,do1,Isotonic,do1,10.0,Beta,do1,Beta,do1,Beta,do1,10.0,Sigmoid,do1,Sigmoid,do1,Beta,do1,15.0,Beta,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Beta,do1,Beta,do1,20.0,Isotonic
MCD-KPCA RecError global,do1,Isotonic,do1,Sigmoid,do1,15.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,15.0,Sigmoid,do1,Beta,do1,Sigmoid,do1,15.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,12.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,12.0,Sigmoid
MCD-REN,do1,Isotonic,do1,Beta,do1,10.0,Beta,do1,Beta,do1,Beta,do1,10.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
MCD-NNGuide,do1,Beta,do1,Isotonic,do1,20.0,Beta,do1,Beta,do1,Sigmoid,do1,20.0,Beta,do1,Beta,do1,Sigmoid,do1,12.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
