model,drop out,methods,reward,run,test,cifar100,svhn,tinyimagenet,lsun cropped,lsun resize,isun,textures,places365
confidnet,do1,MCD-GE,rew2.2,3,0.0846113419373024,0.6234372824080766,0.7736202927518477,0.660751241254384,0.6363786302922122,0.6699654071167002,0.6627338485796297,0.5949902224084084,0.6347404853593576
confidnet,do1,MCD-GE,rew2.2,4,0.8733082324447551,0.6199029418933003,0.7907407283396193,0.581775170184909,0.6072756743737683,0.546641214263901,0.5367808749176269,0.5606587101083518,0.6022011103101232
confidnet,do1,MCD-GE,rew2.2,5,0.3347008527735762,0.6149235718710933,0.7103706732968098,0.5274701542556711,0.5894818323575854,0.4854703651264742,0.4918826239464929,0.5092349960224769,0.563345108363636
confidnet,do1,MCD-EResidual,rew2.2,1,0.2964512520785157,0.8052197359424871,0.7016880962993775,0.8975012438282491,0.6054868702391465,0.9350581580601222,0.915942458786946,0.4816710897670364,0.8740534642856513
confidnet,do1,MCD-EResidual,rew2.2,2,0.316845051604259,0.8993301945120917,0.7112445741649234,0.97060362931589,0.9140513805241512,0.976388711132054,0.9763661590258936,0.836026395329703,0.9391388687616437
confidnet,do1,MCD-EResidual,rew2.2,3,0.3579181874758131,0.8273004903656438,0.702129522892129,0.9704547514365558,0.714247330222352,0.9731406045558452,0.9728034518831148,0.7565125715559252,0.8955533658987713
confidnet,do1,MCD-EResidual,rew2.2,4,0.323018235355572,0.8265531711673629,0.7023471064235405,0.9605975014373306,0.6264526327402724,0.9677072816879146,0.965765854075418,0.5624505453614297,0.90130606686202
confidnet,do1,MCD-EResidual,rew2.2,5,0.3254070065796002,0.9054733556341,0.6976691588786319,0.980156987324016,0.860336915531082,0.9889752224010088,0.9868113395474708,0.7836613191894363,0.9577666135523092
confidnet,do1,MCD-ENNGuide,rew2.2,1,0.0644625357158479,0.6180800268950734,0.6174928519608488,0.5176389291212778,0.5411523007636494,0.5226460712883697,0.5036792606304299,0.5168958202397458,0.6055482729477791
confidnet,do1,MCD-ENNGuide,rew2.2,2,0.2966974758505001,0.5901563131655573,0.6067332754496564,0.5206561458260446,0.5194472422819306,0.4912951035507071,0.5019602663917275,0.4925166558431093,0.5588868363968718
confidnet,do1,MCD-ENNGuide,rew2.2,3,0.389943967773414,0.644900640163403,0.7228653981231702,0.5583604624174098,0.6157194347961742,0.5275231406841,0.5426176512937889,0.5727273013303984,0.6245221526045024
confidnet,do1,MCD-ENNGuide,rew2.2,4,0.6646095098500119,0.6364144566966893,0.743000775494276,0.5515952639414852,0.6067406106383807,0.5316744915867266,0.5240149633717288,0.5799199625989268,0.6237535706234935
confidnet,do1,MCD-ENNGuide,rew2.2,5,0.296783247745157,0.6164472112439336,0.6567724676112313,0.4838981409924658,0.5544884453843913,0.4585271810962827,0.4670216526486861,0.5255191487678554,0.5916227797392752
confidnet,do1,MCD-NNGuide,rew2.2,1,0.2338629963869697,0.6256132590788464,0.6477120857995964,0.5305826317489899,0.5648296132883858,0.5100397631522724,0.5023289860712863,0.5249029115572902,0.5930191021634005
confidnet,do1,MCD-NNGuide,rew2.2,2,0.2368407670355638,0.6067119394316278,0.6358694121736757,0.5341040601307131,0.5392019951309087,0.5003355178367564,0.4974039841330321,0.5260809320138267,0.5739354339669009
confidnet,do1,MCD-NNGuide,rew2.2,3,0.3289729530738706,0.6405176734614436,0.7320558485871888,0.5475082772799242,0.6191670633076202,0.5312396750183792,0.5197445396288426,0.5785039452732526,0.6250432116927873
confidnet,do1,MCD-NNGuide,rew2.2,4,0.2384907120287825,0.6321019802074039,0.7642588366045677,0.5736335303197957,0.6043931273345444,0.5419302457300819,0.5278142327899109,0.5824256854919156,0.616580375125388
confidnet,do1,MCD-NNGuide,rew2.2,5,0.7500587720091243,0.6232999635026424,0.668153491664981,0.5036147215042289,0.5880882148769735,0.479445627055801,0.4877209907214689,0.5151496984119839,0.5875316397448329
confidnet,do1,MCD-PCE,rew2.2,1,0.1184850598855563,0.6164824944960294,0.7096575757102107,0.6463412381596605,0.6428178349100734,0.6560346577057836,0.6544015675339738,0.5680728369724418,0.6307337642908102
