dataset,method,calibration,model,drop_out,reward,run,ece_l1,ece_l2,mce,ece_l1_bound,ece_l2_bound
ood_nsncs_textures,GradNorm,Beta,modelvit,do1,rew0,2,0.11593636177593455,0.028442865610630544,0.3162898926837257,0.19572179651462646,0.28157128093340045
ood_nsncs_places365,GradNorm,Beta,modelvit,do1,rew0,2,0.2615144021537518,0.08680714084551755,0.5000390823289347,0.3326387339285457,0.4527623862483584
val,Confidence,Sigmoid,modelvit,do1,rew0,2,2.9995041503805275e-05,8.99702514815001e-10,2.9995041503805275e-05,0.16546453521571008,0.28761302124458077
iid_test,Confidence,Sigmoid,modelvit,do1,rew0,2,0.0070299950415041446,4.9420830283572856e-05,0.0070299950415041446,0.1597369558745313,0.27747688341604887
ood_sncs_c10,Confidence,Sigmoid,modelvit,do1,rew0,2,0.4570954160525544,0.20893621937625773,0.4570954160525543,0.5393636992275334,0.675736756572621
ood_nsncs_svhn,Confidence,Sigmoid,modelvit,do1,rew0,2,0.6684518581502337,0.44682788666450013,0.6684518581502337,0.7122405895729295,0.7934085041948327
ood_nsncs_ti,Confidence,Sigmoid,modelvit,do1,rew0,2,0.4570954160525544,0.20893621937625773,0.4570954160525543,0.5393636992275334,0.675736756572621
ood_nsncs_lsun_cropped,Confidence,Sigmoid,modelvit,do1,rew0,2,0.4570954160525544,0.20893621937625773,0.4570954160525543,0.5393636992275334,0.675736756572621
ood_nsncs_lsun_resize,Confidence,Sigmoid,modelvit,do1,rew0,2,0.4570954160525544,0.20893621937625773,0.4570954160525543,0.5393636992275334,0.675736756572621
ood_nsncs_isun,Confidence,Sigmoid,modelvit,do1,rew0,2,0.4288022607683859,0.18387137884007881,0.4288022607683859,0.5162215955138176,0.6583905075785723
ood_nsncs_textures,Confidence,Sigmoid,modelvit,do1,rew0,2,0.3151929954511494,0.09934662438146831,0.3151929954511494,0.4232960319135752,0.5835687593328892
ood_nsncs_places365,Confidence,Sigmoid,modelvit,do1,rew0,2,0.4570954160525544,0.20893621937625773,0.4570954160525543,0.5393636992275334,0.675736756572621
val,Confidence,Isotonic,modelvit,do1,rew0,2,3.3306690738754696e-16,1.1093356479670479e-31,3.3306690738754696e-16,0.1654400000000002,0.28761302126294624
iid_test,Confidence,Isotonic,modelvit,do1,rew0,2,0.006999999999999784,4.8999999999996976e-05,0.006999999999999784,0.15971199999999977,0.27747612509907943
