,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,mce,mce,mce,mce,mce,mce,mce,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound
,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg
,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration
methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD-EMLS,do1,Sigmoid,do1,Sigmoid,do1,6.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,12.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,12.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,6.0,Beta
MCD-ECTMmean,do1,Isotonic,do1,Beta,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,12.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Beta,do1,Beta,do1,20.0,Beta
MCD-Energy,do1,Sigmoid,do1,Sigmoid,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,12.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,6.0,Isotonic
MCD-KPCA RecError global,do1,Sigmoid,do1,Beta,do1,6.0,Isotonic,do1,Sigmoid,do1,Beta,do1,20.0,Beta,do1,Beta,do1,Sigmoid,do1,15.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,6.0,Isotonic
MCD-EPE,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,15.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,6.0,Beta
MCD-GradNorm,do1,Sigmoid,do1,Isotonic,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,6.0,Isotonic
MCD-CTMmeanOC,do1,Isotonic,do1,Beta,do1,6.0,Sigmoid,do1,Beta,do1,Beta,do1,6.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Beta,do1,Beta,do1,20.0,Beta
MCD-ECTMmeanOC,do1,Beta,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,12.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Beta,do1,Beta,do1,20.0,Beta
MCD-EREN,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Beta,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,6.0,Beta
MCD-ECTM,do1,Beta,do1,Isotonic,do1,6.0,Beta,do1,Beta,do1,Sigmoid,do1,6.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,12.0,Beta,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,6.0,Beta
MCD-EfDBD,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Isotonic,do1,Sigmoid,do1,12.0,Beta,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,6.0,Beta
MCD-MI,do1,Isotonic,do1,Beta,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,6.0,Isotonic,do1,Isotonic,do1,Isotonic,do1,6.0,Sigmoid,do1,Beta,do1,Beta,do1,6.0,Beta
MCD-fDBD,do1,Beta,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,12.0,Beta,do1,Isotonic,do1,Isotonic,do1,12.0,Isotonic,do1,Beta,do1,Isotonic,do1,12.0,Beta
