,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,mce,mce,mce,mce,mce,mce,mce,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound
MCD-PCE,do1,Beta,do1,Beta,do1,3.0,Beta,do1,Beta,do1,Beta,do1,3.0,Beta,do1,Beta,do1,Beta,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Beta,do1,Beta,do1,3.0,Beta
MCD-MI,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Beta,do1,Beta,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Beta,do1,Beta,do1,3.0,Beta
MCD-GEN,do1,Sigmoid,do1,Sigmoid,do1,3.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,3.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,3.0,Sigmoid
MCD-ENeCo,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,3.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,3.0,Sigmoid
MCD-GE,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Beta,do1,Beta,do1,3.0,Beta
MCD-EfDBD,do1,Beta,do1,Isotonic,do1,3.0,Isotonic,do1,Beta,do1,Isotonic,do1,6.0,Beta,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Sigmoid,do1,Isotonic,do1,3.0,Isotonic,do1,Beta,do1,Beta,do1,3.0,Beta
MCD-Energy,do1,Isotonic,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,2.2,Sigmoid,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,3.0,Sigmoid
MCD-EPCE,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Beta,do1,Beta,do1,2.2,Beta,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Beta,do1,Beta,do1,3.0,Beta
MCD-NeCo,do1,Sigmoid,do1,Sigmoid,do1,10.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,3.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,3.0,Sigmoid
MCD-ECTM,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Isotonic,do1,Isotonic,do1,10.0,Beta,do1,Sigmoid,do1,Isotonic,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,3.0,Beta
MCD-EMLS,do1,Sigmoid,do1,Sigmoid,do1,3.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,3.0,Sigmoid
MCD-MLS,do1,Sigmoid,do1,Sigmoid,do1,10.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,2.2,Sigmoid,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,3.0,Sigmoid
MCD-ECTMmeanOC,do1,Beta,do1,Beta,do1,3.0,Beta,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,3.0,Beta
MCD-Confidence,do1,Beta,do1,Sigmoid,do1,10.0,Beta,do1,Beta,do1,Sigmoid,do1,6.0,Beta,do1,Beta,do1,Sigmoid,do1,6.0,Beta,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Beta,do1,Sigmoid,do1,3.0,Beta
MCD-EREN,do1,Beta,do1,Sigmoid,do1,10.0,Beta,do1,Beta,do1,Beta,do1,10.0,Beta,do1,Beta,do1,Sigmoid,do1,2.2,Beta,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Beta,do1,Sigmoid,do1,3.0,Sigmoid
MCD-EEnergy,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,2.2,Sigmoid,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,3.0,Sigmoid
MCD-ECTMmean,do1,Beta,do1,Beta,do1,3.0,Isotonic,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Isotonic,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,3.0,Beta
MCD-EPE,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Beta,do1,Beta,do1,3.0,Beta
MCD-ENNGuide,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,3.0,Sigmoid
MCD-EMSR,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Isotonic,do1,Isotonic,do1,6.0,Beta,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Beta,do1,Beta,do1,3.0,Beta
MCD-EGEN,do1,Isotonic,do1,Sigmoid,do1,3.0,Beta,do1,Isotonic,do1,Sigmoid,do1,3.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Isotonic,do1,Sigmoid,do1,10.0,Sigmoid
MCD-KPCA RecError global,do1,Isotonic,do1,Beta,do1,2.2,Isotonic,do1,Beta,do1,Beta,do1,2.2,Isotonic,do1,Beta,do1,Sigmoid,do1,2.2,Beta,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Beta,do1,Beta,do1,3.0,Isotonic
MCD-fDBD,do1,Isotonic,do1,Beta,do1,6.0,Isotonic,do1,Isotonic,do1,Beta,do1,6.0,Beta,do1,Isotonic,do1,Beta,do1,2.2,Sigmoid,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Beta,do1,Sigmoid,do1,3.0,Beta
MCD-GradNorm,do1,Isotonic,do1,Sigmoid,do1,10.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,2.2,Isotonic,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,3.0,Sigmoid
MCD-CTMmeanOC,do1,Isotonic,do1,Beta,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Beta,do1,Beta,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Beta,do1,Beta,do1,3.0,Beta
MCD-PCA RecError global,do1,Isotonic,do1,Beta,do1,10.0,Isotonic,do1,Isotonic,do1,Beta,do1,10.0,Beta,do1,Beta,do1,Beta,do1,3.0,Isotonic,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Isotonic,do1,Beta,do1,10.0,Beta
MCD-CTMmean,do1,Isotonic,do1,Beta,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Beta,do1,Beta,do1,Isotonic,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Isotonic,do1,Beta,do1,3.0,Beta
MCD-REN,do1,Isotonic,do1,Sigmoid,do1,3.0,Beta,do1,Beta,do1,Sigmoid,do1,3.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,2.2,Sigmoid,do1,Isotonic,do1,Isotonic,do1,3.0,Sigmoid,do1,Beta,do1,Sigmoid,do1,3.0,Sigmoid
MCD-PE,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Beta,do1,Beta,do1,3.0,Beta
MCD-EGE,do1,Isotonic,do1,Beta,do1,10.0,Beta,do1,Beta,do1,Beta,do1,3.0,Beta,do1,Beta,do1,Beta,do1,2.2,Beta,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Isotonic,do1,Beta,do1,3.0,Beta
MCD-NNGuide,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,3.0,Sigmoid
MCD-CTM,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Isotonic,do1,3.0,Beta,do1,Sigmoid,do1,Isotonic,do1,10.0,Isotonic,do1,Isotonic,do1,Isotonic,do1,3.0,Isotonic,do1,Beta,do1,Isotonic,do1,3.0,Beta
