,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,mce,mce,mce,mce,mce,mce,mce,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound
MSR,do0,Beta,do1,Beta,do0,15.0,Beta,do0,Beta,do0,Beta,do0,15.0,Beta,do1,Sigmoid,do0,Beta,do1,20.0,Beta,do0,Isotonic,do0,Isotonic,do0,20.0,Isotonic,do0,Beta,do0,Beta,do0,20.0,Beta
fDBD,do0,Beta,do0,Beta,do0,15.0,Beta,do0,Beta,do0,Beta,do1,12.0,Beta,do1,Beta,do0,Beta,do1,20.0,Beta,do0,Isotonic,do0,Isotonic,do0,12.0,Isotonic,do0,Beta,do0,Beta,do0,12.0,Beta
ViM,do1,Isotonic,do1,Beta,do0,10.0,Isotonic,do1,Sigmoid,do1,Beta,do0,12.0,Beta,do1,Sigmoid,do0,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Sigmoid,do1,Beta,do1,20.0,Beta
NeCo,do1,Sigmoid,do0,Sigmoid,do0,15.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do0,15.0,Sigmoid,do1,Sigmoid,do0,Sigmoid,do0,20.0,Sigmoid,do0,Isotonic,do0,Isotonic,do0,20.0,Isotonic,do0,Sigmoid,do0,Sigmoid,do0,20.0,Sigmoid
MLS,do1,Sigmoid,do1,Sigmoid,do0,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta,do1,Sigmoid,do0,Sigmoid,do1,10.0,Beta,do0,Isotonic,do0,Isotonic,do0,10.0,Isotonic,do0,Isotonic,do0,Sigmoid,do0,10.0,Sigmoid
Energy,do1,Sigmoid,do0,Sigmoid,do1,20.0,Sigmoid,do1,Sigmoid,do0,Sigmoid,do1,20.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,12.0,Beta,do0,Isotonic,do0,Isotonic,do0,10.0,Isotonic,do0,Beta,do0,Beta,do0,10.0,Beta
CTMmean,do1,Sigmoid,do0,Beta,do0,12.0,Beta,do1,Sigmoid,do0,Beta,do0,20.0,Beta,do1,Sigmoid,do0,Beta,do0,20.0,Sigmoid,do0,Isotonic,do0,Isotonic,do0,20.0,Isotonic,do0,Beta,do0,Beta,do0,20.0,Beta
KPCA RecError global,do0,Sigmoid,do0,Beta,do0,10.0,Sigmoid,do0,Sigmoid,do0,Beta,do0,12.0,Sigmoid,do0,Sigmoid,do0,Sigmoid,do1,12.0,Beta,do0,Isotonic,do0,Isotonic,do0,12.0,Isotonic,do0,Sigmoid,do0,Beta,do0,10.0,Sigmoid
Confidence,do1,Beta,do1,Beta,do0,20.0,Beta,do1,Beta,do1,Beta,do0,20.0,Beta,do1,Beta,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
CTMmeanOC,do1,Sigmoid,do0,Beta,do1,20.0,Beta,do1,Sigmoid,do0,Beta,do1,20.0,Beta,do1,Sigmoid,do0,Beta,do1,20.0,Beta,do0,Isotonic,do0,Isotonic,do0,20.0,Isotonic,do0,Beta,do0,Beta,do0,20.0,Beta
NNGuide,do0,Beta,do1,Beta,do0,20.0,Beta,do1,Sigmoid,do1,Beta,do0,20.0,Beta,do1,Sigmoid,do1,Sigmoid,do0,20.0,Beta,do0,Isotonic,do0,Isotonic,do0,10.0,Isotonic,do0,Beta,do0,Beta,do0,20.0,Beta
PCA RecError global,do0,Beta,do1,Beta,do0,12.0,Isotonic,do1,Beta,do1,Beta,do1,20.0,Beta,do1,Beta,do0,Beta,do1,20.0,Beta,do0,Isotonic,do0,Isotonic,do0,20.0,Isotonic,do0,Beta,do0,Beta,do0,15.0,Beta
