model,drop out,methods,reward,test,cifar10,svhn,lsun cropped,lsun resize,isun,textures,places365
confidnet,do1,pNML,rew2.2,0.1617860805052675,0.3616592486937205,0.35722231521372305,0.25172166798570966,0.22199610259130922,0.25099279188360574,0.1648791032314737,0.32847769430068663
confidnet,do1,pNML,rew2.2,0.1617860805052675,0.3616592486937205,0.35722231521372305,0.25172166798570966,0.22199610259130922,0.25099279188360574,0.1648791032314737,0.32847769430068663
confidnet,do0,NeCo,rew2.2,0.17105089294865755,0.3464821057900919,0.5910238161522274,0.2594096203558315,0.29464576142723253,0.22248422989642558,0.13189873029122726,0.35999423802952657
confidnet,do0,NeCo,rew2.2,0.17105089294865755,0.3464821057900919,0.5910238161522274,0.2594096203558315,0.29464576142723253,0.22248422989642558,0.13189873029122726,0.35999423802952657
confidnet,do0,Maha,rew2.2,0.17162594175412615,0.44675734980877213,0.37145997993015256,0.35985147031334586,0.28437448884118083,0.3135691993038237,0.20014264754762526,0.2713137583372989
confidnet,do0,Maha,rew2.2,0.17162594175412615,0.44675734980877213,0.37145997993015256,0.35985147031334586,0.28437448884118083,0.3135691993038237,0.20014264754762526,0.2713137583372989
confidnet,do0,PE,rew2.2,0.20767751337110602,0.36646266948804057,0.5985995763909999,0.28713054310532715,0.2746000211227475,0.407440664943661,0.2087628809653852,0.34708846894087253
confidnet,do0,PE,rew2.2,0.20767751337110602,0.36646266948804057,0.5985995763909999,0.28713054310532715,0.2746000211227475,0.407440664943661,0.2087628809653852,0.34708846894087253
confidnet,do0,CTMmeanOC,rew2.2,0.2271919450111617,0.40166117870367096,0.4155974535959174,0.2371925986191478,0.27432396366434453,0.24002690559279172,0.11412701433762358,0.3969544050879794
confidnet,do0,CTMmeanOC,rew2.2,0.2271919450111617,0.40166117870367096,0.4155974535959174,0.2371925986191478,0.27432396366434453,0.24002690559279172,0.11412701433762358,0.3969544050879794
confidnet,do0,CTMmean,rew2.2,0.23243316811899203,0.40601627398429463,0.41436839180903623,0.2369029264304195,0.27464601765761193,0.24185721280182776,0.11370695801930472,0.3978148311132724
confidnet,do0,CTMmean,rew2.2,0.23243316811899203,0.40601627398429463,0.41436839180903623,0.2369029264304195,0.27464601765761193,0.24185721280182776,0.11370695801930472,0.3978148311132724
confidnet,do0,Confidence,rew2.2,0.2527985391904302,0.3625261664113344,0.5760760466591444,0.461778992780524,0.3952956046798598,0.3710072016493934,0.2513834052779501,0.3751645155313006
confidnet,do0,Confidence,rew2.2,0.2527985391904302,0.3625261664113344,0.5760760466591444,0.461778992780524,0.3952956046798598,0.3710072016493934,0.2513834052779501,0.3751645155313006
confidnet,do0,ViM,rew2.2,0.29578059163099113,0.390229701376079,0.3787692977431711,0.33935822689826123,0.2916860826719241,0.24579025962945583,0.0967725253487988,0.3354257072715802
confidnet,do0,ViM,rew2.2,0.29578059163099113,0.390229701376079,0.3787692977431711,0.33935822689826123,0.2916860826719241,0.24579025962945583,0.0967725253487988,0.3354257072715802
confidnet,do0,KPCA RecError global,rew2.2,0.29788681245882753,0.49423789566599047,0.38527440257176215,0.3485920428412711,0.5135413038149266,0.6048462754201813,0.25523568618943326,0.4873088495656992
confidnet,do0,KPCA RecError global,rew2.2,0.29788681245882753,0.49423789566599047,0.38527440257176215,0.3485920428412711,0.5135413038149266,0.6048462754201813,0.25523568618943326,0.4873088495656992
confidnet,do0,GE,rew2.2,0.34862833410709215,0.313803068993595,0.6739111841611871,0.3888190643912659,0.3524272047216587,0.4314074750969031,0.2282885848232296,0.3321456139795309
confidnet,do0,GE,rew2.2,0.34862833410709215,0.313803068993595,0.6739111841611871,0.3888190643912659,0.3524272047216587,0.4314074750969031,0.2282885848232296,0.3321456139795309
confidnet,do0,Residual,rew2.2,0.3504337838434501,0.4733428585245164,0.4387280692736599,0.5025621745998723,0.48250290227256676,0.4621488900134169,0.31643823754454176,0.35879704201902374
confidnet,do0,Residual,rew2.2,0.3504337838434501,0.4733428585245164,0.4387280692736599,0.5025621745998723,0.48250290227256676,0.4621488900134169,0.31643823754454176,0.35879704201902374
confidnet,do1,PCA RecError global,rew2.2,0.48065809059648423,0.388470256721947,0.7294546918031697,0.7843437370635344,0.7481709097467549,0.7799558323976201,0.4737471588889924,0.4877216817234104
confidnet,do1,PCA RecError global,rew2.2,0.48065809059648423,0.388470256721947,0.7294546918031697,0.7843437370635344,0.7481709097467549,0.7799558323976201,0.4737471588889924,0.4877216817234104
devries,do0,GEN,rew2.2,0.08721873472773647,0.37936592028824234,0.4564378674405744,0.25029622287103864,0.45316100987297164,0.41994086756207005,0.2308357159878521,0.36254734013957657
devries,do0,GEN,rew2.2,0.08721873472773647,0.37936592028824234,0.4564378674405744,0.25029622287103864,0.45316100987297164,0.41994086756207005,0.2308357159878521,0.36254734013957657
devries,do0,NNGuide,rew2.2,0.08909160757644073,0.37801471148059557,0.44779941324356753,0.20144126737690402,0.2599731759197007,0.22706121115691053,0.1198002715864104,0.3653848855694693
devries,do0,NNGuide,rew2.2,0.08909160757644073,0.37801471148059557,0.44779941324356753,0.20144126737690402,0.2599731759197007,0.22706121115691053,0.1198002715864104,0.3653848855694693
devries,do1,pNML,rew2.2,0.09567307455178302,0.3968368738621849,0.4629799189892063,0.23466510922027667,0.22442466502904396,0.22133797427483737,0.24908628921899495,0.3766330215008261
devries,do1,pNML,rew2.2,0.09567307455178302,0.3968368738621849,0.4629799189892063,0.23466510922027667,0.22442466502904396,0.22133797427483737,0.24908628921899495,0.3766330215008261
devries,do1,MLS,rew2.2,0.09648848412716829,0.3707249900912477,0.5618754122253278,0.1748232240969909,0.197301328294709,0.17518530904122842,0.14859896312552084,0.36890844531781186
devries,do1,MLS,rew2.2,0.09648848412716829,0.3707249900912477,0.5618754122253278,0.1748232240969909,0.197301328294709,0.17518530904122842,0.14859896312552084,0.36890844531781186
devries,do1,NeCo,rew2.2,0.09709595998428537,0.3695751500125763,0.5596581587281881,0.1765945644583209,0.195997519578947,0.17475952684362667,0.14582248909166606,0.3679060710762191
devries,do1,NeCo,rew2.2,0.09709595998428537,0.3695751500125763,0.5596581587281881,0.1765945644583209,0.195997519578947,0.17475952684362667,0.14582248909166606,0.3679060710762191
devries,do0,Residual,rew2.2,0.10560612694685094,0.6468416285622981,0.3794732291706936,0.27263597090701874,0.25829743108234926,0.27495781952148624,0.3348897269871972,0.26935625355930626
devries,do0,Residual,rew2.2,0.10560612694685094,0.6468416285622981,0.3794732291706936,0.27263597090701874,0.25829743108234926,0.27495781952148624,0.3348897269871972,0.26935625355930626
devries,do0,KPCA RecError global,rew2.2,0.11056151393937204,0.38825663481219347,0.38278022196174305,0.17493946282006362,0.3179795984461079,0.2773353084909268,0.11068292327801017,0.3770054807337881
devries,do0,KPCA RecError global,rew2.2,0.11056151393937204,0.38825663481219347,0.38278022196174305,0.17493946282006362,0.3179795984461079,0.2773353084909268,0.11068292327801017,0.3770054807337881
devries,do1,Energy,rew2.2,0.11674766525070476,0.3676392624511854,0.5484349182541118,0.23431556692484556,0.23733681057947242,0.22827139705242677,0.17661569868812405,0.38123696122365025
devries,do1,Energy,rew2.2,0.11674766525070476,0.3676392624511854,0.5484349182541118,0.23431556692484556,0.23733681057947242,0.22827139705242677,0.17661569868812405,0.38123696122365025
devries,do0,REN,rew2.2,0.12180224493843594,0.37078233506041813,0.4537806058100786,0.22867986948433638,0.31144113938828,0.25287952944057224,0.13452888745804015,0.3568580892614274
devries,do0,REN,rew2.2,0.12180224493843594,0.37078233506041813,0.4537806058100786,0.22867986948433638,0.31144113938828,0.25287952944057224,0.13452888745804015,0.3568580892614274
devries,do1,PE,rew2.2,0.1262095520034876,0.3296620652948522,0.5997409146310743,0.2215632159231406,0.23720330634348907,0.21427454495139547,0.20922649030452772,0.39110504347495284
devries,do1,PE,rew2.2,0.1262095520034876,0.3296620652948522,0.5997409146310743,0.2215632159231406,0.23720330634348907,0.21427454495139547,0.20922649030452772,0.39110504347495284
devries,do1,GE,rew2.2,0.1268571714371559,0.3095939924391441,0.5740826562853918,0.20104567884988547,0.21778878766835041,0.19498312135277693,0.1720158744003706,0.357496086142573
devries,do1,GE,rew2.2,0.1268571714371559,0.3095939924391441,0.5740826562853918,0.20104567884988547,0.21778878766835041,0.19498312135277693,0.1720158744003706,0.357496086142573
devries,do1,PCE,rew2.2,0.12697046281958274,0.32318853632465905,0.6015188032983902,0.26711329313402044,0.2816520296534306,0.2514221462645147,0.23079448534101993,0.3756793450125179
