model,drop out,methods,reward,run,test,cifar10,svhn,lsun cropped,lsun resize,isun,textures,places365
confidnet,do1,MLS,rew2.2,3,0.0484985334296482,0.195943716367822,0.461307338244516,0.2054321339391899,0.1981913991554259,0.1744249098340985,0.1145552206833988,0.1924645803092634
confidnet,do1,MLS,rew2.2,3,0.0484985334296482,0.195943716367822,0.461307338244516,0.2054321339391899,0.1981913991554259,0.1744249098340985,0.1145552206833988,0.1924645803092634
confidnet,do1,MLS,rew2.2,4,0.0842630683694683,0.2374171279676134,0.3593840453960336,0.1824380242525921,0.2679975974999334,0.2425204922102732,0.1278154950521546,0.2447948518571678
confidnet,do1,MLS,rew2.2,4,0.0842630683694683,0.2374171279676134,0.3593840453960336,0.1824380242525921,0.2679975974999334,0.2425204922102732,0.1278154950521546,0.2447948518571678
confidnet,do1,MLS,rew2.2,5,0.0967754379552362,0.2229290127731225,0.4604784410069522,0.1990007625821752,0.231280246666574,0.2099236139384571,0.1325619094928847,0.2336069483844797
confidnet,do1,MLS,rew2.2,5,0.0967754379552362,0.2229290127731225,0.4604784410069522,0.1990007625821752,0.231280246666574,0.2099236139384571,0.1325619094928847,0.2336069483844797
confidnet,do1,Confidence,rew2.2,1,0.1102706185980854,0.1979522307206339,0.4790867236579368,0.1487298170177527,0.2028564240278298,0.188030358304355,0.1537390055695947,0.2669037872299322
confidnet,do1,Confidence,rew2.2,1,0.1102706185980854,0.1979522307206339,0.4790867236579368,0.1487298170177527,0.2028564240278298,0.188030358304355,0.1537390055695947,0.2669037872299322
confidnet,do1,Confidence,rew2.2,2,0.0756006472565423,0.1445435563816253,0.4315265960785768,0.1049330135435311,0.1525430488207857,0.1313181342725593,0.1150285479227376,0.185133025342558
confidnet,do1,Confidence,rew2.2,2,0.0756006472565423,0.1445435563816253,0.4315265960785768,0.1049330135435311,0.1525430488207857,0.1313181342725593,0.1150285479227376,0.185133025342558
confidnet,do1,Confidence,rew2.2,3,0.1271877145690408,0.1648592535250148,0.5040613778479914,0.1047851882638509,0.1534186163264611,0.1379360306418828,0.1805092016528188,0.2484688647000915
confidnet,do1,Confidence,rew2.2,3,0.1271877145690408,0.1648592535250148,0.5040613778479914,0.1047851882638509,0.1534186163264611,0.1379360306418828,0.1805092016528188,0.2484688647000915
confidnet,do1,Confidence,rew2.2,4,0.0675040313121099,0.2000198203926181,0.4494255689752229,0.1542338204465896,0.218666274452276,0.1919218141389086,0.1443852656097322,0.2146251870760525
confidnet,do1,Confidence,rew2.2,4,0.0675040313121099,0.2000198203926181,0.4494255689752229,0.1542338204465896,0.218666274452276,0.1919218141389086,0.1443852656097322,0.2146251870760525
confidnet,do1,Confidence,rew2.2,5,0.1120979313871969,0.1906543694116643,0.4937507916960262,0.186121538095509,0.1906761936376522,0.1855127160706203,0.1835316664968863,0.2138843335032004
confidnet,do1,Confidence,rew2.2,5,0.1120979313871969,0.1906543694116643,0.4937507916960262,0.186121538095509,0.1906761936376522,0.1855127160706203,0.1835316664968863,0.2138843335032004
confidnet,do1,MSR,rew2.2,1,0.148617824235997,0.2103548833032388,0.5430878333531868,0.1431659514371297,0.2282229238553563,0.2049695049740517,0.1683296031316153,0.3423645614859745
confidnet,do1,MSR,rew2.2,1,0.148617824235997,0.2103548833032388,0.5430878333531868,0.1431659514371297,0.2282229238553563,0.2049695049740517,0.1683296031316153,0.3423645614859745
confidnet,do1,MSR,rew2.2,2,0.0883660267525412,0.1230545506890929,0.4553216515536583,0.0950309817155717,0.1588652489031579,0.1086666863613233,0.1847729144032016,0.2653228965795476
confidnet,do1,MSR,rew2.2,2,0.0883660267525412,0.1230545506890929,0.4553216515536583,0.0950309817155717,0.1588652489031579,0.1086666863613233,0.1847729144032016,0.2653228965795476
